"","Year","Species","Count"
"1",1968,"American Black Duck",112751
"2",1969,"American Black Duck",8514
"3",1970,"American Black Duck",20758
"4",1971,"American Black Duck",59917
"5",1972,"American Black Duck",15138
"6",1973,"American Black Duck",117
"7",1974,"American Black Duck",26255
"8",1975,"American Black Duck",38197
"9",1976,"American Black Duck",51104
"10",1977,"American Black Duck",12277
"11",1978,"American Black Duck",43346
"12",1979,"American Black Duck",47856
"13",1980,"American Black Duck",9159
"14",1981,"American Black Duck",3632
"15",1982,"American Black Duck",68394
"16",1984,"American Black Duck",15981
"17",1985,"American Black Duck",3605
"18",1986,"American Black Duck",10744
"19",1987,"American Black Duck",16131
"20",1988,"American Black Duck",5998
"21",1989,"American Black Duck",3106
"22",1990,"American Black Duck",20034
"23",1991,"American Black Duck",20239
"24",1992,"American Black Duck",15958
"25",1993,"American Black Duck",26533
"26",1994,"American Black Duck",15223
"27",1995,"American Black Duck",24467
"28",1996,"American Black Duck",17880
"29",1997,"American Black Duck",1083
"30",1998,"American Black Duck",85138
"31",1999,"American Black Duck",40036
"32",2000,"American Black Duck",28760
"33",2001,"American Black Duck",47434
"34",2002,"American Black Duck",89398
"35",2003,"American Black Duck",51044
"36",2004,"American Black Duck",12566
