"","Year","Species","Count"
"1",1968,"Long-Tailed Duck",10
"2",1969,"Long-Tailed Duck",251
"3",1970,"Long-Tailed Duck",13768
"4",1971,"Long-Tailed Duck",14157
"5",1972,"Long-Tailed Duck",2326
"6",1975,"Long-Tailed Duck",2
"7",1976,"Long-Tailed Duck",4525
"8",1977,"Long-Tailed Duck",8915
"9",1978,"Long-Tailed Duck",364
"10",1979,"Long-Tailed Duck",298
"11",1980,"Long-Tailed Duck",6737
"12",1981,"Long-Tailed Duck",3834
"13",1982,"Long-Tailed Duck",7
"14",1984,"Long-Tailed Duck",86
"15",1985,"Long-Tailed Duck",788
"16",1986,"Long-Tailed Duck",18695
"17",1987,"Long-Tailed Duck",1421
"18",1988,"Long-Tailed Duck",2145
"19",1989,"Long-Tailed Duck",3925
"20",1990,"Long-Tailed Duck",3614
"21",1991,"Long-Tailed Duck",2758
"22",1992,"Long-Tailed Duck",1634
"23",1993,"Long-Tailed Duck",8679
"24",1994,"Long-Tailed Duck",3975
"25",1995,"Long-Tailed Duck",10883
"26",1996,"Long-Tailed Duck",1337
"27",1997,"Long-Tailed Duck",6858
"28",1998,"Long-Tailed Duck",21488
"29",1999,"Long-Tailed Duck",107374
"30",2000,"Long-Tailed Duck",120329
"31",2001,"Long-Tailed Duck",24155
"32",2002,"Long-Tailed Duck",2854
"33",2003,"Long-Tailed Duck",2388
"34",2004,"Long-Tailed Duck",1243
