Year,CO2 From Fossil Fuels and Cement (10^12 kg),GHG (10^12 kg CO2 eq)
1970,0.36,0.5
1971,0.37,0.5
1972,0.39,0.5
1973,0.41,0.6
1974,0.42,0.6
1975,0.4,0.5
1976,0.42,0.5
1977,0.43,0.6
1978,0.43,0.6
1979,0.45,0.6
1980,0.45,0.6
1981,0.44,0.6
1982,0.42,0.6
1983,0.41,0.6
1984,0.43,0.6
1985,0.43,0.6
1986,0.42,0.6
1987,0.43,0.6
1988,0.46,0.6
1989,0.48,0.6
1990,0.45,0.6
1991,0.45,0.6
1992,0.46,0.6
1993,0.46,0.6
1994,0.48,0.7
1995,0.49,0.7
1996,0.5,0.7
1997,0.52,0.7
1998,0.52,0.7
1999,0.54,0.7
2000,0.56,0.7
2001,0.55,0.7
2002,0.55,0.7
2003,0.57,0.8
2004,0.57,0.7
2005,0.58,0.8
2006,0.57,0.8
2007,0.61,0.8
2008,0.58,0.8
2009,0.55,0.7
2010,0.57,0.8
2011,0.58,0.8
2012,0.58,0.8
2013,0.59,0.8
2014,0.6,0.8
2015,0.59,0.8
2016,0.59,0.8
2017,0.6,0.8
2018,0.59,0.8
