"","Longitude..x.","Latitude..y.","Station.Name","Climate.ID","Date.Time","Year","Month","Mean.Max.Temp...C.","Mean.Max.Temp.Flag","Mean.Min.Temp...C.","Mean.Min.Temp.Flag","Mean.Temp...C.","Mean.Temp.Flag","Extr.Max.Temp...C.","Extr.Max.Temp.Flag","Extr.Min.Temp...C.","Extr.Min.Temp.Flag","Total.Rain..mm.","Total.Rain.Flag","Total.Snow..cm.","Total.Snow.Flag","Total.Precip..mm.","Total.Precip.Flag","Snow.Grnd.Last.Day..cm.","Snow.Grnd.Last.Day.Flag","Dir.of.Max.Gust..10.s.deg.","Dir.of.Max.Gust.Flag","Spd.of.Max.Gust..km.h.","Spd.of.Max.Gust.Flag"
"1",-82.67,42.04,"KINGSVILLE MOE",6134190,"1970-01",1970,1,-4.6,"",-12.5,"",-8.6,"",7.8,"",-21.7,"S",0.5,"",47,"",47.5,"",NA,"M",NA,NA,NA,NA
"2",-82.67,42.04,"KINGSVILLE MOE",6134190,"1970-02",1970,2,-0.6,"",-9.9,"",-5.3,"",8.9,"",-19.4,"",7.4,"",25.9,"",33.3,"",NA,"M",NA,NA,NA,NA
"3",-82.67,42.04,"KINGSVILLE MOE",6134190,"1970-03",1970,3,2.3,"",-4.3,"",-1,"",8.9,"",-12.8,"",65.5,"",9.4,"",74.9,"",NA,"M",NA,NA,NA,NA
"4",-82.67,42.04,"KINGSVILLE MOE",6134190,"1970-04",1970,4,12.5,"",3.8,"",8.2,"",23.9,"",-3.3,"",97.8,"",0,"T",97.8,"",0,"",NA,NA,NA,NA
"5",-82.67,42.04,"KINGSVILLE MOE",6134190,"1970-05",1970,5,19.2,"",10,"",14.6,"",28.3,"",1.7,"",94.2,"",0,"",94.2,"",0,"",NA,NA,NA,NA
"6",-82.67,42.04,"KINGSVILLE MOE",6134190,"1970-06",1970,6,24.3,"",15.2,"",19.8,"",33.9,"",7.8,"",102.4,"",0,"",102.4,"",0,"",NA,NA,NA,NA
"7",-82.67,42.04,"KINGSVILLE MOE",6134190,"1970-07",1970,7,25.7,"",18.1,"",21.9,"",31.1,"",11.1,"",100.8,"",0,"",100.8,"",0,"",NA,NA,NA,NA
"8",-82.67,42.04,"KINGSVILLE MOE",6134190,"1970-08",1970,8,26.9,"",17.4,"",22.2,"",30,"S",10.6,"",13.2,"",0,"",13.2,"",0,"",NA,NA,NA,NA
"9",-82.67,42.04,"KINGSVILLE MOE",6134190,"1970-09",1970,9,22.9,"",14.1,"",18.5,"",30,"",2.2,"",77.5,"",0,"",77.5,"",0,"",NA,NA,NA,NA
"10",-82.67,42.04,"KINGSVILLE MOE",6134190,"1970-10",1970,10,16.3,"",8.3,"",12.3,"",23.3,"",0,"",65.3,"",0,"",65.3,"",0,"",NA,NA,NA,NA
"11",-82.67,42.04,"KINGSVILLE MOE",6134190,"1970-11",1970,11,7.8,"",2.2,"",5,"",15.6,"",-8.3,"",69.6,"",0,"T",69.6,"",0,"",NA,NA,NA,NA
"12",-82.67,42.04,"KINGSVILLE MOE",6134190,"1970-12",1970,12,2.1,"",-4.5,"",-1.2,"",12.8,"S",-14.4,"",31.2,"",29.2,"",60.5,"",NA,"M",NA,NA,NA,NA
