"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-82.67","42.04","KINGSVILLE MOE","6134190","1960-01","1960","01","","","","","","","","","","","","M","","M","","M","","M","","","",""
"-82.67","42.04","KINGSVILLE MOE","6134190","1960-02","1960","02","","","","","","","","","","","","M","","M","","M","","M","","","",""
"-82.67","42.04","KINGSVILLE MOE","6134190","1960-03","1960","03","","","","","","","","","","","","M","","M","","M","","M","","","",""
"-82.67","42.04","KINGSVILLE MOE","6134190","1960-04","1960","04","","","","","","","","","","","","M","","M","","M","","M","","","",""
"-82.67","42.04","KINGSVILLE MOE","6134190","1960-05","1960","05","","","","","","","","","","","","M","","M","","M","","M","","","",""
"-82.67","42.04","KINGSVILLE MOE","6134190","1960-06","1960","06","","","","","","","","","","","","M","","M","","M","","M","","","",""
"-82.67","42.04","KINGSVILLE MOE","6134190","1960-07","1960","07","","","","","","","","","","","","M","","M","","M","","M","","","",""
"-82.67","42.04","KINGSVILLE MOE","6134190","1960-08","1960","08","","","","","","","","","","","","M","","M","","M","","M","","","",""
"-82.67","42.04","KINGSVILLE MOE","6134190","1960-09","1960","09","","","","","","","","","","","","M","","M","","M","","M","","","",""
"-82.67","42.04","KINGSVILLE MOE","6134190","1960-10","1960","10","","","","","","","","","","","30.2","","0.0","","30.2","","","M","","","",""
"-82.67","42.04","KINGSVILLE MOE","6134190","1960-11","1960","11","","","","","","","","","","","24.6","","0.0","T","24.6","","","M","","","",""
"-82.67","42.04","KINGSVILLE MOE","6134190","1960-12","1960","12","","","","","","","","","","","2.0","","17.3","","19.3","","0","T","","","",""
"-82.67","42.04","KINGSVILLE MOE","6134190","1961-01","1961","01","","","","","","","","","","","0.0","T","5.1","","5.1","","3","","","","",""
