"","Longitude..x.","Latitude..y.","Station.Name","Climate.ID","Date.Time","Year","Month","Mean.Max.Temp...C.","Mean.Max.Temp.Flag","Mean.Min.Temp...C.","Mean.Min.Temp.Flag","Mean.Temp...C.","Mean.Temp.Flag","Extr.Max.Temp...C.","Extr.Max.Temp.Flag","Extr.Min.Temp...C.","Extr.Min.Temp.Flag","Total.Rain..mm.","Total.Rain.Flag","Total.Snow..cm.","Total.Snow.Flag","Total.Precip..mm.","Total.Precip.Flag","Snow.Grnd.Last.Day..cm.","Snow.Grnd.Last.Day.Flag","Dir.of.Max.Gust..10.s.deg.","Dir.of.Max.Gust.Flag","Spd.of.Max.Gust..km.h.","Spd.of.Max.Gust.Flag"
"1",-75.7,44.6,"BROCKVILLE",6100969,"1970-01",1970,1,-7.8,"",-19.1,"",-13.5,"",6.7,"",-31.1,"",2.8,"",54.1,"",56.9,"",36,"",NA,NA,NA,NA
"2",-75.7,44.6,"BROCKVILLE",6100969,"1970-02",1970,2,-3.7,"",-13.7,"",-8.7,"",7.8,"",-31.7,"",18.3,"",59.9,"",78.2,"",33,"",NA,NA,NA,NA
"3",-75.7,44.6,"BROCKVILLE",6100969,"1970-03",1970,3,2,"",-7.2,"",-2.6,"",11.1,"",-17.8,"",36.6,"",15.7,"",52.3,"",NA,"M",NA,NA,NA,NA
"4",-75.7,44.6,"BROCKVILLE",6100969,"1970-04",1970,4,12.4,"",1.2,"",6.8,"",29.4,"",-8.9,"",42.9,"",25.9,"",68.8,"",0,"",NA,NA,NA,NA
"5",-75.7,44.6,"BROCKVILLE",6100969,"1970-05",1970,5,18.1,"",7.4,"",12.8,"",30,"",-1.7,"",72.9,"",0,"T",72.9,"",0,"",NA,NA,NA,NA
"6",-75.7,44.6,"BROCKVILLE",6100969,"1970-06",1970,6,23.6,"",12.1,"",17.9,"",28.9,"",7.2,"S",68.8,"",0,"",68.8,"",0,"",NA,NA,NA,NA
"7",-75.7,44.6,"BROCKVILLE",6100969,"1970-07",1970,7,25.8,"",15.3,"",20.6,"",30.6,"S",9.4,"",191,"",0,"",191,"",0,"",NA,NA,NA,NA
"8",-75.7,44.6,"BROCKVILLE",6100969,"1970-08",1970,8,25.8,"",14.8,"",20.3,"",31.1,"",7.8,"",88.1,"",0,"",88.1,"",0,"",NA,NA,NA,NA
"9",-75.7,44.6,"BROCKVILLE",6100969,"1970-09",1970,9,20.5,"",11.3,"",15.9,"",27.2,"S",5.6,"S",88.6,"",0,"",88.6,"",0,"",NA,NA,NA,NA
"10",-75.7,44.6,"BROCKVILLE",6100969,"1970-10",1970,10,15.6,"",6.1,"",10.9,"",26.7,"",-5,"",60.7,"",0.3,"",61,"",0,"",NA,NA,NA,NA
"11",-75.7,44.6,"BROCKVILLE",6100969,"1970-11",1970,11,7.3,"",0.8,"",4.1,"",17.2,"",-10,"",101.1,"",8.4,"",109.5,"",0,"",NA,NA,NA,NA
"12",-75.7,44.6,"BROCKVILLE",6100969,"1970-12",1970,12,-5.3,"",-13.5,"",-9.4,"",11.1,"",-25,"",2.3,"",95,"",97.3,"",48,"",NA,NA,NA,NA
"13",-75.7,44.6,"BROCKVILLE",6100969,"1971-01",1971,1,-6.5,"",-16.5,"",-11.5,"",5,"",-31.7,"",3.8,"",38.6,"",42.4,"",43,"",NA,NA,NA,NA
"14",-75.7,44.6,"BROCKVILLE",6100969,"1971-02",1971,2,-2.2,"",-11.5,"",-6.9,"",7.8,"",-31.1,"",34.5,"",86.4,"",120.9,"",58,"",NA,NA,NA,NA
