"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-75.70","44.60","BROCKVILLE","6100969","1871-01","1871","01","","","","","","","","","","","","M","","M","","M","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1871-02","1871","02","","","","","","","","","","","","M","","M","","M","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1871-03","1871","03","","","","","","","","","","","","M","","M","","M","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1871-04","1871","04","","","","","","","","","","","","M","","M","","M","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1871-05","1871","05","","","","","","","","","","","","M","","M","","M","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1871-06","1871","06","","","","","","","","","","","","M","","M","","M","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1871-07","1871","07","","","","","","","","","","","","M","","M","","M","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1871-08","1871","08","","","","","","","","","","","","M","","M","","M","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1871-09","1871","09","","","","","","","","","","","","M","","M","","M","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1871-10","1871","10","","","","","","","","","","","20.6","","0.0","","20.6","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1871-11","1871","11","","","","","","","","","","","30.7","","39.4","","70.1","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1871-12","1871","12","","","","","","","","","","","10.2","","85.1","","95.3","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1872-01","1872","01","","M","","M","","M","","M","","M","17.8","","27.9","","45.7","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1872-02","1872","02","","M","","M","","M","","M","","M","18.8","","38.1","","56.9","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1872-03","1872","03","","M","","M","","M","","M","","M","0.0","T","34.3","","34.3","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1872-04","1872","04","","M","","M","","M","","M","","M","11.4","","5.1","","16.5","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1872-05","1872","05","","M","","M","","M","","M","","M","89.7","","0.0","","89.7","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1872-06","1872","06","23.3","","12.4","","17.9","","31.1","","1.7","","59.4","","0.0","","59.4","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1872-07","1872","07","25.8","","15.3","","20.6","","31.1","","10.0","","111.5","","0.0","","111.5","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1872-08","1872","08","26.1","","14.7","","20.4","","30.6","S","5.6","","114.3","","0.0","","114.3","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1872-09","1872","09","20.6","","8.6","","14.6","","28.3","S","1.7","","80.0","","0.0","","80.0","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1872-10","1872","10","12.3","","2.3","","7.3","","23.3","","-4.4","","115.1","","0.0","","115.1","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1872-11","1872","11","3.9","","-3.4","","0.3","","11.7","","-14.4","","26.2","","26.7","","52.8","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1872-12","1872","12","-5.8","","-15.4","","-10.6","","2.8","S","-35.6","","24.9","","82.6","","107.4","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1873-01","1873","01","-5.2","","-15.9","","-10.6","","10.6","","-31.7","","17.3","","81.3","","98.6","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1873-02","1873","02","-2.9","","-13.4","","-8.2","","6.1","","-23.9","","0.0","T","33.0","","33.0","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1873-03","1873","03","1.0","","-7.7","","-3.4","","8.3","","-22.2","","57.2","","86.4","","143.5","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1873-04","1873","04","8.6","","-0.2","","4.2","","18.3","","-6.7","","70.1","","2.5","","72.6","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1873-05","1873","05","18.0","","5.7","","11.9","","27.8","","-2.2","","26.9","","0.0","","26.9","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1873-06","1873","06","24.8","","11.4","","18.1","","31.1","S","6.1","","42.2","","0.0","","42.2","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1873-07","1873","07","25.4","","14.6","","20.0","","30.0","","7.8","S","176.0","","0.0","","176.0","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1873-08","1873","08","24.0","","13.3","","18.7","","28.9","","6.1","","38.6","","0.0","","38.6","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1873-09","1873","09","19.8","","8.4","","14.1","","27.8","","0.0","","51.3","","0.0","","51.3","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1873-10","1873","10","13.1","","2.7","","7.9","","22.8","","-3.9","","143.3","","0.0","","143.3","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1873-11","1873","11","-0.3","","-8.3","","-4.3","","11.1","","-20.6","","15.0","","26.2","","41.1","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1873-12","1873","12","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1874-01","1874","01","-2.4","","-11.3","","-6.9","","16.7","","-27.8","S","73.4","","35.6","","109.0","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1874-02","1874","02","-3.2","","-14.7","","-9.0","","7.8","","-31.7","","44.2","","29.2","","73.4","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1874-03","1874","03","1.9","","-7.8","","-3.0","","13.9","","-17.2","","51.6","","32.8","","84.3","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1874-04","1874","04","5.4","","-4.3","","0.6","","16.1","","-13.9","","26.9","","27.7","","54.6","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1874-05","1874","05","17.6","","5.8","","11.7","","27.8","","-3.9","","49.3","","2.0","","51.3","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1874-06","1874","06","22.4","","11.4","","16.9","","29.4","","5.6","","34.5","","0.0","","34.5","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1874-07","1874","07","26.0","","14.3","","20.2","","31.7","","8.3","","83.1","","0.0","","83.1","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1874-08","1874","08","26.0","","11.4","","18.7","","31.7","","4.4","","14.7","","0.0","","14.7","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1874-09","1874","09","23.4","","10.9","","17.2","","29.4","","2.2","","35.1","","0.0","","35.1","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1874-10","1874","10","13.7","","3.7","","8.7","","19.4","S","-3.3","","70.9","","0.0","","70.9","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1874-11","1874","11","5.3","","-4.1","","0.6","","15.6","","-21.1","","20.1","","34.0","","54.1","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1874-12","1874","12","-1.6","","-13.1","","-7.4","","9.4","","-29.4","","7.4","","46.7","","54.1","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1875-01","1875","01","-7.9","","-19.9","","-13.9","","2.2","","-30.0","","0.0","","105.7","","105.7","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1875-02","1875","02","-6.7","","-19.0","","-12.9","","6.7","S","-36.1","","21.8","","70.4","","92.2","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1875-03","1875","03","-0.4","","-10.8","","-5.6","","10.0","","-22.8","S","18.5","","70.9","","89.4","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1875-04","1875","04","7.9","","-2.9","","2.5","","18.9","","-10.0","","20.8","","12.2","","33.0","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1875-05","1875","05","17.4","","4.9","","11.2","","28.9","","-2.8","","100.1","","0.3","","100.3","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1875-06","1875","06","24.6","","10.1","","17.4","","31.1","","3.3","","28.7","","0.0","","28.7","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1875-07","1875","07","25.8","","13.6","","19.7","","28.9","","6.1","","69.9","","0.0","","69.9","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1875-08","1875","08","25.4","","13.1","","19.3","","31.1","","3.9","","65.8","","0.0","","65.8","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1875-09","1875","09","19.2","","7.7","","13.5","","31.7","","-2.2","","103.1","","0.0","","103.1","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1875-10","1875","10","11.4","","1.6","","6.5","","18.3","S","-4.4","","58.4","","0.8","","59.2","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1875-11","1875","11","2.1","","-6.9","","-2.4","","10.6","","-26.1","","21.8","","35.3","","57.2","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1875-12","1875","12","-1.7","","-11.9","","-6.8","","15.6","","-35.0","","18.0","","45.5","","63.5","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1876-01","1876","01","0.4","","-10.2","","-4.9","","14.4","","-21.7","","41.7","","55.6","","97.3","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1876-02","1876","02","-2.7","","-14.3","","-8.5","","6.1","S","-30.0","","12.7","","133.6","","146.3","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1876-03","1876","03","1.1","","-9.7","","-4.3","","14.4","","-21.7","","64.5","","110.7","","175.3","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1876-04","1876","04","8.7","","-1.3","","3.7","","17.2","","-9.4","","50.0","","8.9","","58.9","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1876-05","1876","05","16.7","","4.9","","10.8","","26.1","","-2.2","","51.8","","0.0","","51.8","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1876-06","1876","06","25.7","","14.2","","20.0","","31.1","S","7.8","","52.3","","0.0","","52.3","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1876-07","1876","07","26.9","","15.3","","21.1","","33.9","","6.1","","79.2","","0.0","","79.2","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1876-08","1876","08","28.1","","14.3","","21.2","","33.9","S","5.0","","16.3","","0.0","","16.3","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1876-09","1876","09","19.0","","9.5","","14.3","","29.4","","2.2","","75.7","","0.0","","75.7","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1876-10","1876","10","11.3","","1.7","","6.5","","21.7","","-6.1","S","54.6","","0.0","","54.6","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1876-11","1876","11","5.8","","-1.1","","2.4","","14.4","","-14.4","","45.7","","4.3","","50.0","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1876-12","1876","12","-6.4","","-16.1","","-11.3","","6.1","","-28.3","","0.0","","105.7","","105.7","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1877-01","1877","01","-5.4","","-17.2","","-11.3","","4.4","","-30.0","S","5.6","","103.9","","109.5","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1877-02","1877","02","1.6","","-6.7","","-2.6","","7.2","S","-18.9","","2.5","","4.1","","6.6","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1877-03","1877","03","0.9","","-7.8","","-3.5","","9.4","","-20.0","","58.9","","59.4","","118.4","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1877-04","1877","04","12.7","","0.9","","6.8","","23.3","","-6.7","","51.6","","1.3","","52.8","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1877-05","1877","05","17.9","","6.4","","12.2","","26.7","S","-2.2","","33.0","","0.0","","33.0","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1877-06","1877","06","24.6","","12.2","","18.4","","28.9","S","6.1","","59.7","","0.0","","59.7","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1877-07","1877","07","26.9","","15.4","","21.2","","32.2","","8.3","","79.8","","0.0","","79.8","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1877-08","1877","08","27.7","","15.6","","21.7","","33.3","","10.6","","50.5","","0.0","","50.5","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1877-09","1877","09","22.9","","10.3","","16.6","","31.7","","3.3","","52.3","","0.0","","52.3","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1877-10","1877","10","13.0","","3.9","","8.5","","26.1","","-6.1","","61.5","","0.0","","61.5","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1877-11","1877","11","6.8","","-1.3","","2.8","","15.6","","-8.3","","126.2","","9.9","","136.1","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1877-12","1877","12","2.4","","-5.1","","-1.4","","9.4","","-14.4","","29.0","","10.2","","39.1","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1878-01","1878","01","-3.1","","-13.7","","-8.4","","6.1","","-32.2","","41.9","","41.1","","83.1","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1878-02","1878","02","0.1","","-10.1","","-5.0","","7.2","","-20.6","","31.2","","31.5","","62.7","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1878-03","1878","03","6.9","","-3.1","","1.9","","14.4","","-15.0","S","23.1","","65.3","","88.4","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1878-04","1878","04","14.9","","5.3","","10.1","","24.4","","0.0","","54.1","","0.0","","54.1","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1878-05","1878","05","17.8","","6.9","","12.4","","24.4","","0.0","","49.3","","0.0","","49.3","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1878-06","1878","06","23.4","","11.4","","17.4","","33.3","","1.1","","84.6","","0.0","","84.6","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1878-07","1878","07","28.2","","16.4","","22.3","","34.4","","9.4","","88.4","","0.0","","88.4","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1878-08","1878","08","26.4","","15.6","","21.0","","30.0","","8.9","","147.3","","0.0","","147.3","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1878-09","1878","09","21.8","","11.9","","16.9","","28.3","","-1.1","","80.3","","0.0","","80.3","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1878-10","1878","10","15.1","","5.8","","10.5","","25.0","","-0.6","","98.3","","6.9","","105.2","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1878-11","1878","11","4.6","","-1.6","","1.5","","10.0","S","-7.2","","67.1","","46.7","","113.8","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1878-12","1878","12","-2.3","","-9.0","","-5.7","","6.7","","-18.9","","26.7","","90.4","","117.1","","","","","","",""
