Chart,,,,,,,,,,,,
DateTime,Modeled Historical,Historical Range,,RCP 2.6 Median,RCP 2.6 Range,,RCP 4.5 Median,RCP 4.5 Range,,RCP 8.5 Median,RCP 8.5 Range,
,,low,high,,low,high,,low,high,,low,high
1950-01-01 00:00:00,11.00,6.30,17.00,,,,,,,,,
1951-01-01 00:00:00,8.00,3.30,14.70,,,,,,,,,
1952-01-01 00:00:00,9.50,4.30,23.70,,,,,,,,,
1953-01-01 00:00:00,11.00,2.60,21.70,,,,,,,,,
1954-01-01 00:00:00,8.00,2.30,16.00,,,,,,,,,
1955-01-01 00:00:00,10.50,1.30,23.00,,,,,,,,,
1956-01-01 00:00:00,10.50,2.60,19.00,,,,,,,,,
1957-01-01 00:00:00,8.00,2.30,14.40,,,,,,,,,
1958-01-01 00:00:00,9.50,2.30,22.70,,,,,,,,,
1959-01-01 00:00:00,14.00,5.60,19.00,,,,,,,,,
1960-01-01 00:00:00,7.00,0.30,20.20,,,,,,,,,
1961-01-01 00:00:00,9.00,5.00,22.10,,,,,,,,,
1962-01-01 00:00:00,12.00,4.30,15.70,,,,,,,,,
1963-01-01 00:00:00,9.00,2.60,22.10,,,,,,,,,
1964-01-01 00:00:00,11.50,3.00,24.70,,,,,,,,,
1965-01-01 00:00:00,13.00,6.00,21.00,,,,,,,,,
1966-01-01 00:00:00,9.50,2.30,20.70,,,,,,,,,
1967-01-01 00:00:00,10.50,2.30,17.40,,,,,,,,,
1968-01-01 00:00:00,8.50,3.30,18.00,,,,,,,,,
1969-01-01 00:00:00,11.50,3.20,19.70,,,,,,,,,
1970-01-01 00:00:00,12.50,5.30,18.00,,,,,,,,,
1971-01-01 00:00:00,10.00,2.60,21.50,,,,,,,,,
1972-01-01 00:00:00,9.50,3.00,17.00,,,,,,,,,
1973-01-01 00:00:00,9.00,4.30,20.70,,,,,,,,,
1974-01-01 00:00:00,9.00,3.30,27.10,,,,,,,,,
1975-01-01 00:00:00,12.50,2.00,26.40,,,,,,,,,
1976-01-01 00:00:00,10.00,2.00,19.90,,,,,,,,,
1977-01-01 00:00:00,13.00,4.00,21.80,,,,,,,,,
1978-01-01 00:00:00,8.50,3.60,20.00,,,,,,,,,
1979-01-01 00:00:00,8.50,3.60,19.70,,,,,,,,,
1980-01-01 00:00:00,11.00,4.30,19.70,,,,,,,,,
1981-01-01 00:00:00,7.00,2.00,18.10,,,,,,,,,
1982-01-01 00:00:00,11.00,1.90,16.00,,,,,,,,,
1983-01-01 00:00:00,11.00,5.30,20.70,,,,,,,,,
1984-01-01 00:00:00,13.00,5.30,18.40,,,,,,,,,
1985-01-01 00:00:00,9.50,2.60,20.50,,,,,,,,,
1986-01-01 00:00:00,6.50,2.30,15.00,,,,,,,,,
1987-01-01 00:00:00,7.50,2.60,15.70,,,,,,,,,
1988-01-01 00:00:00,9.00,6.00,19.00,,,,,,,,,
1989-01-01 00:00:00,6.00,2.30,14.40,,,,,,,,,
1990-01-01 00:00:00,9.00,3.30,14.40,,,,,,,,,
1991-01-01 00:00:00,6.50,2.00,12.70,,,,,,,,,
1992-01-01 00:00:00,9.00,2.30,17.00,,,,,,,,,
1993-01-01 00:00:00,10.00,3.30,20.00,,,,,,,,,
1994-01-01 00:00:00,7.50,2.30,14.40,,,,,,,,,
1995-01-01 00:00:00,7.00,2.00,14.00,,,,,,,,,
1996-01-01 00:00:00,9.00,2.30,20.00,,,,,,,,,
1997-01-01 00:00:00,8.50,4.00,17.00,,,,,,,,,
1998-01-01 00:00:00,7.50,3.00,16.00,,,,,,,,,
1999-01-01 00:00:00,5.00,1.00,8.00,,,,,,,,,
2000-01-01 00:00:00,4.00,1.00,9.70,,,,,,,,,
2001-01-01 00:00:00,7.00,2.30,14.70,,,,,,,,,
2002-01-01 00:00:00,5.00,0.60,11.00,,,,,,,,,
2003-01-01 00:00:00,7.50,2.00,14.70,,,,,,,,,
2004-01-01 00:00:00,6.50,1.30,15.40,,,,,,,,,
2005-01-01 00:00:00,8.00,1.40,14.60,8.00,1.40,14.60,8.00,2.20,14.60,8.00,1.60,14.40
2006-01-01 00:00:00,,,,5.50,2.00,12.70,5.00,2.30,14.70,6.50,0.90,13.70
2007-01-01 00:00:00,,,,7.50,1.30,13.70,3.50,0.00,9.40,6.00,0.00,15.80
2008-01-01 00:00:00,,,,7.00,2.00,12.70,7.00,3.30,16.70,5.00,1.30,13.50
2009-01-01 00:00:00,,,,5.00,1.00,10.00,5.00,2.00,17.40,7.00,3.00,12.70
2010-01-01 00:00:00,,,,4.00,0.00,9.00,4.50,1.00,11.00,4.50,0.00,12.40
2011-01-01 00:00:00,,,,3.00,0.00,8.70,4.00,1.00,9.70,3.50,0.00,11.20
2012-01-01 00:00:00,,,,3.00,0.30,8.70,5.00,0.00,9.00,2.50,0.30,9.40
2013-01-01 00:00:00,,,,2.00,0.00,12.40,3.00,0.30,11.00,3.50,0.00,10.70
2014-01-01 00:00:00,,,,5.00,0.00,14.10,5.00,0.30,11.40,2.50,0.00,9.10
2015-01-01 00:00:00,,,,5.50,1.30,16.50,4.50,1.00,8.00,5.50,0.00,8.00
2016-01-01 00:00:00,,,,3.00,0.00,9.70,5.50,1.00,10.00,3.50,0.30,11.70
2017-01-01 00:00:00,,,,3.00,0.00,8.00,4.00,0.30,10.40,2.00,0.00,13.40
2018-01-01 00:00:00,,,,3.50,0.00,9.00,4.00,0.30,11.00,3.00,0.00,10.70
2019-01-01 00:00:00,,,,3.50,0.30,6.00,3.50,0.30,9.10,2.00,0.00,11.00
2020-01-01 00:00:00,,,,5.50,1.00,9.70,3.50,0.00,9.70,3.00,0.00,10.70
2021-01-01 00:00:00,,,,3.00,0.30,8.10,3.00,0.00,9.00,3.00,0.00,9.00
2022-01-01 00:00:00,,,,3.50,0.00,12.70,3.50,1.00,9.00,3.00,0.00,7.40
2023-01-01 00:00:00,,,,3.50,0.00,8.70,2.00,0.00,8.00,4.00,0.00,8.00
2024-01-01 00:00:00,,,,3.50,0.00,11.10,5.00,0.00,9.00,2.50,0.00,9.70
2025-01-01 00:00:00,,,,5.50,0.00,10.80,1.50,0.00,7.00,2.00,0.00,6.40
2026-01-01 00:00:00,,,,5.00,1.00,11.70,3.00,0.00,8.40,4.00,0.30,10.70
2027-01-01 00:00:00,,,,4.00,0.00,11.70,3.00,0.00,7.70,2.00,0.00,7.40
2028-01-01 00:00:00,,,,2.00,0.00,9.10,2.50,0.00,7.00,3.00,0.00,12.00
2029-01-01 00:00:00,,,,2.50,0.00,8.70,3.50,1.00,13.70,2.00,0.00,10.10
2030-01-01 00:00:00,,,,3.00,0.00,9.70,3.00,0.00,9.00,1.50,0.00,4.00
2031-01-01 00:00:00,,,,3.50,0.00,10.70,2.00,0.00,7.70,1.50,0.00,10.70
2032-01-01 00:00:00,,,,3.50,0.00,8.00,2.50,0.00,9.70,1.50,0.00,7.00
2033-01-01 00:00:00,,,,3.00,0.00,7.70,3.00,0.00,11.70,2.00,0.00,6.70
2034-01-01 00:00:00,,,,2.50,0.00,8.70,1.50,0.00,5.00,1.50,0.00,6.00
2035-01-01 00:00:00,,,,2.50,0.00,9.80,1.50,0.00,6.70,2.00,0.00,5.70
2036-01-01 00:00:00,,,,1.00,0.00,7.40,1.50,0.00,8.10,1.00,0.00,7.40
2037-01-01 00:00:00,,,,2.50,0.00,6.70,1.00,0.00,10.80,1.00,0.00,6.40
2038-01-01 00:00:00,,,,3.00,0.00,15.40,3.00,0.00,7.40,1.50,0.00,8.70
2039-01-01 00:00:00,,,,2.00,0.00,7.70,2.00,0.00,8.70,0.50,0.00,5.40
2040-01-01 00:00:00,,,,2.00,0.00,8.70,1.00,0.00,3.70,1.00,0.00,6.10
2041-01-01 00:00:00,,,,1.50,0.00,6.70,1.50,0.00,4.70,1.00,0.00,5.70
2042-01-01 00:00:00,,,,1.00,0.00,8.40,1.50,0.00,7.40,0.50,0.00,5.10
2043-01-01 00:00:00,,,,1.00,0.00,5.40,1.00,0.00,4.70,0.00,0.00,3.70
2044-01-01 00:00:00,,,,2.00,0.00,9.70,2.00,0.00,6.40,1.50,0.00,5.70
2045-01-01 00:00:00,,,,2.00,0.00,8.70,2.00,0.00,5.00,0.00,0.00,5.70
2046-01-01 00:00:00,,,,1.00,0.00,11.00,1.00,0.00,6.70,1.00,0.00,3.70
2047-01-01 00:00:00,,,,1.00,0.00,8.10,2.00,0.00,5.40,1.50,0.00,3.70
2048-01-01 00:00:00,,,,1.00,0.00,7.00,0.50,0.00,9.10,1.00,0.00,4.00
2049-01-01 00:00:00,,,,2.00,0.00,5.70,1.50,0.00,7.40,0.50,0.00,6.10
2050-01-01 00:00:00,,,,3.00,0.00,7.70,1.00,0.00,3.00,0.00,0.00,3.70
2051-01-01 00:00:00,,,,1.00,0.00,6.70,0.50,0.00,7.00,0.00,0.00,1.70
2052-01-01 00:00:00,,,,2.50,0.00,8.00,1.00,0.00,2.70,0.00,0.00,5.10
2053-01-01 00:00:00,,,,2.00,0.00,8.40,1.00,0.00,3.00,0.00,0.00,3.00
2054-01-01 00:00:00,,,,1.00,0.00,7.70,0.50,0.00,5.00,0.00,0.00,3.00
2055-01-01 00:00:00,,,,3.00,0.00,6.00,1.00,0.00,4.40,0.00,0.00,2.00
2056-01-01 00:00:00,,,,1.50,0.00,7.00,0.00,0.00,3.00,0.00,0.00,1.00
2057-01-01 00:00:00,,,,1.00,0.00,5.40,0.00,0.00,2.70,0.00,0.00,3.80
2058-01-01 00:00:00,,,,2.50,0.00,8.70,1.50,0.00,5.00,0.00,0.00,2.00
2059-01-01 00:00:00,,,,3.00,0.00,10.40,1.00,0.00,6.10,0.00,0.00,1.00
2060-01-01 00:00:00,,,,2.00,0.00,8.00,0.50,0.00,9.80,0.00,0.00,3.00
2061-01-01 00:00:00,,,,1.00,0.00,5.70,0.00,0.00,4.70,0.00,0.00,2.70
2062-01-01 00:00:00,,,,2.00,0.00,9.10,0.00,0.00,5.50,0.00,0.00,2.70
2063-01-01 00:00:00,,,,1.00,0.00,5.70,0.50,0.00,4.70,0.00,0.00,0.70
2064-01-01 00:00:00,,,,1.50,0.00,6.00,0.00,0.00,1.00,0.00,0.00,2.70
2065-01-01 00:00:00,,,,1.00,0.00,5.00,0.00,0.00,3.00,0.00,0.00,2.70
2066-01-01 00:00:00,,,,0.50,0.00,4.00,0.00,0.00,4.70,0.00,0.00,2.00
2067-01-01 00:00:00,,,,2.00,0.00,9.00,0.00,0.00,2.70,0.00,0.00,1.70
2068-01-01 00:00:00,,,,2.00,0.00,5.00,0.50,0.00,3.40,0.00,0.00,1.00
2069-01-01 00:00:00,,,,2.50,0.00,6.40,0.00,0.00,4.70,0.00,0.00,0.70
2070-01-01 00:00:00,,,,1.00,0.00,9.70,1.00,0.00,5.70,0.00,0.00,0.00
2071-01-01 00:00:00,,,,2.00,0.00,7.40,0.00,0.00,2.70,0.00,0.00,1.70
2072-01-01 00:00:00,,,,1.00,0.00,5.00,0.00,0.00,4.40,0.00,0.00,1.70
2073-01-01 00:00:00,,,,1.00,0.00,8.70,0.00,0.00,3.00,0.00,0.00,1.70
2074-01-01 00:00:00,,,,2.50,0.00,9.40,0.00,0.00,4.70,0.00,0.00,1.00
2075-01-01 00:00:00,,,,1.00,0.00,6.00,0.50,0.00,2.00,0.00,0.00,1.70
2076-01-01 00:00:00,,,,2.00,0.00,9.00,0.00,0.00,5.40,0.00,0.00,0.70
2077-01-01 00:00:00,,,,0.50,0.00,7.80,0.00,0.00,3.00,0.00,0.00,0.70
2078-01-01 00:00:00,,,,2.00,0.00,5.00,0.00,0.00,2.00,0.00,0.00,0.70
2079-01-01 00:00:00,,,,1.50,0.00,7.00,0.00,0.00,2.70,0.00,0.00,0.00
2080-01-01 00:00:00,,,,2.00,0.00,7.00,0.00,0.00,2.70,0.00,0.00,0.00
2081-01-01 00:00:00,,,,3.00,0.00,5.70,0.00,0.00,4.10,0.00,0.00,0.00
2082-01-01 00:00:00,,,,1.50,0.00,10.70,0.00,0.00,1.70,0.00,0.00,0.00
2083-01-01 00:00:00,,,,2.00,0.00,6.00,0.00,0.00,3.70,0.00,0.00,0.00
2084-01-01 00:00:00,,,,2.00,0.00,7.70,0.50,0.00,5.00,0.00,0.00,0.00
2085-01-01 00:00:00,,,,3.50,0.00,8.40,0.00,0.00,6.80,0.00,0.00,0.00
2086-01-01 00:00:00,,,,1.50,0.00,7.00,0.00,0.00,3.70,0.00,0.00,0.00
2087-01-01 00:00:00,,,,1.00,0.00,8.70,0.50,0.00,4.70,0.00,0.00,0.00
2088-01-01 00:00:00,,,,1.50,0.00,5.70,0.00,0.00,3.40,0.00,0.00,0.00
2089-01-01 00:00:00,,,,1.50,0.00,4.00,0.00,0.00,3.70,0.00,0.00,0.70
2090-01-01 00:00:00,,,,3.00,0.00,6.40,0.00,0.00,3.70,0.00,0.00,0.00
2091-01-01 00:00:00,,,,1.00,0.00,4.00,0.00,0.00,3.70,0.00,0.00,0.00
2092-01-01 00:00:00,,,,2.00,0.00,7.00,1.50,0.00,5.70,0.00,0.00,0.00
2093-01-01 00:00:00,,,,3.00,0.00,8.00,0.00,0.00,2.10,0.00,0.00,0.00
2094-01-01 00:00:00,,,,2.50,0.00,7.40,0.50,0.00,4.00,0.00,0.00,0.00
2095-01-01 00:00:00,,,,1.00,0.00,6.40,0.50,0.00,8.40,0.00,0.00,0.00
2096-01-01 00:00:00,,,,1.00,0.00,5.00,0.00,0.00,3.00,0.00,0.00,0.00
2097-01-01 00:00:00,,,,1.00,0.00,8.40,0.00,0.00,3.00,0.00,0.00,0.00
2098-01-01 00:00:00,,,,3.00,0.00,6.70,0.00,0.00,4.70,0.00,0.00,0.00
2099-01-01 00:00:00,,,,2.50,0.00,9.10,0.00,0.00,1.00,0.00,0.00,0.00
2100-01-01 00:00:00,,,,2.00,0.00,9.10,0.50,0.00,6.60,0.00,0.00,0.00
