Chart,,,,,,,,,,,,
DateTime,Modeled Historical,Historical Range,,RCP 2.6 Median,RCP 2.6 Range,,RCP 4.5 Median,RCP 4.5 Range,,RCP 8.5 Median,RCP 8.5 Range,
,,low,high,,low,high,,low,high,,low,high
1950-01-01 00:00:00,49.50,34.60,64.10,,,,,,,,,
1951-01-01 00:00:00,45.00,33.60,56.70,,,,,,,,,
1952-01-01 00:00:00,50.00,32.60,63.00,,,,,,,,,
1953-01-01 00:00:00,53.00,33.30,64.40,,,,,,,,,
1954-01-01 00:00:00,45.00,31.50,63.00,,,,,,,,,
1955-01-01 00:00:00,52.50,34.20,65.70,,,,,,,,,
1956-01-01 00:00:00,51.00,37.20,65.40,,,,,,,,,
1957-01-01 00:00:00,48.00,30.50,69.80,,,,,,,,,
1958-01-01 00:00:00,48.50,32.30,66.10,,,,,,,,,
1959-01-01 00:00:00,52.50,40.90,68.00,,,,,,,,,
1960-01-01 00:00:00,44.50,27.60,61.40,,,,,,,,,
1961-01-01 00:00:00,50.50,37.00,68.40,,,,,,,,,
1962-01-01 00:00:00,49.00,35.60,61.40,,,,,,,,,
1963-01-01 00:00:00,49.50,27.60,65.00,,,,,,,,,
1964-01-01 00:00:00,58.00,31.20,73.40,,,,,,,,,
1965-01-01 00:00:00,55.00,37.00,72.80,,,,,,,,,
1966-01-01 00:00:00,50.00,30.10,67.40,,,,,,,,,
1967-01-01 00:00:00,50.00,35.60,58.70,,,,,,,,,
1968-01-01 00:00:00,54.00,39.60,69.40,,,,,,,,,
1969-01-01 00:00:00,52.50,37.60,68.20,,,,,,,,,
1970-01-01 00:00:00,52.50,36.60,64.40,,,,,,,,,
1971-01-01 00:00:00,48.50,36.60,64.70,,,,,,,,,
1972-01-01 00:00:00,50.00,34.00,62.80,,,,,,,,,
1973-01-01 00:00:00,52.50,38.30,61.00,,,,,,,,,
1974-01-01 00:00:00,48.00,37.00,71.00,,,,,,,,,
1975-01-01 00:00:00,51.00,32.60,66.80,,,,,,,,,
