Chart,,,,,,,,,,,,
DateTime,Modeled Historical,Historical Range,,RCP 2.6 Median,RCP 2.6 Range,,RCP 4.5 Median,RCP 4.5 Range,,RCP 8.5 Median,RCP 8.5 Range,
,,low,high,,low,high,,low,high,,low,high
1950-01-01 00:00:00,8.16,7.66,9.18,,,,,,,,,
1951-01-01 00:00:00,8.76,7.87,9.44,,,,,,,,,
1952-01-01 00:00:00,8.37,7.76,9.24,,,,,,,,,
1953-01-01 00:00:00,8.23,7.59,9.33,,,,,,,,,
1954-01-01 00:00:00,8.23,7.66,9.55,,,,,,,,,
1955-01-01 00:00:00,8.23,7.62,9.19,,,,,,,,,
1956-01-01 00:00:00,8.64,7.58,9.32,,,,,,,,,
1957-01-01 00:00:00,8.41,7.43,9.37,,,,,,,,,
1958-01-01 00:00:00,8.49,7.33,9.18,,,,,,,,,
1959-01-01 00:00:00,8.20,7.22,9.17,,,,,,,,,
1960-01-01 00:00:00,8.74,7.49,9.70,,,,,,,,,
1961-01-01 00:00:00,8.45,7.73,9.28,,,,,,,,,
1962-01-01 00:00:00,8.48,7.73,9.09,,,,,,,,,
1963-01-01 00:00:00,8.41,7.16,9.13,,,,,,,,,
1964-01-01 00:00:00,7.96,7.09,8.98,,,,,,,,,
1965-01-01 00:00:00,7.86,6.92,8.90,,,,,,,,,
1966-01-01 00:00:00,8.24,7.24,9.13,,,,,,,,,
1967-01-01 00:00:00,8.27,7.75,9.33,,,,,,,,,
1968-01-01 00:00:00,8.13,7.46,8.92,,,,,,,,,
1969-01-01 00:00:00,8.08,7.03,9.03,,,,,,,,,
1970-01-01 00:00:00,8.11,7.45,9.13,,,,,,,,,
1971-01-01 00:00:00,8.27,7.28,9.28,,,,,,,,,
1972-01-01 00:00:00,8.29,7.81,9.35,,,,,,,,,
1973-01-01 00:00:00,8.45,7.84,8.88,,,,,,,,,
1974-01-01 00:00:00,8.32,7.47,9.17,,,,,,,,,
1975-01-01 00:00:00,8.27,7.46,9.08,,,,,,,,,
1976-01-01 00:00:00,8.28,7.08,9.61,,,,,,,,,
1977-01-01 00:00:00,8.37,7.65,9.04,,,,,,,,,
1978-01-01 00:00:00,8.52,7.76,8.97,,,,,,,,,
1979-01-01 00:00:00,8.78,7.78,9.32,,,,,,,,,
1980-01-01 00:00:00,8.41,7.59,9.71,,,,,,,,,
1981-01-01 00:00:00,9.04,7.82,9.61,,,,,,,,,
1982-01-01 00:00:00,8.62,7.89,9.86,,,,,,,,,
