Chart,,,,,,,,,,,,
DateTime,Modeled Historical,Historical Range,,RCP 2.6 Median,RCP 2.6 Range,,RCP 4.5 Median,RCP 4.5 Range,,RCP 8.5 Median,RCP 8.5 Range,
,,low,high,,low,high,,low,high,,low,high
1950-01-01 00:00:00,55.00,39.60,73.60,,,,,,,,,
1951-01-01 00:00:00,61.00,48.00,73.40,,,,,,,,,
1952-01-01 00:00:00,58.00,46.20,74.60,,,,,,,,,
1953-01-01 00:00:00,56.00,40.30,75.70,,,,,,,,,
1954-01-01 00:00:00,54.50,40.30,72.40,,,,,,,,,
1955-01-01 00:00:00,51.00,37.30,62.10,,,,,,,,,
1956-01-01 00:00:00,57.00,38.30,72.10,,,,,,,,,
1957-01-01 00:00:00,50.50,32.00,70.20,,,,,,,,,
1958-01-01 00:00:00,51.50,39.00,67.70,,,,,,,,,
1959-01-01 00:00:00,50.50,40.30,61.40,,,,,,,,,
1960-01-01 00:00:00,53.00,34.30,76.20,,,,,,,,,
1961-01-01 00:00:00,52.00,38.90,69.70,,,,,,,,,
1962-01-01 00:00:00,51.50,36.10,77.80,,,,,,,,,
1963-01-01 00:00:00,51.00,37.30,57.70,,,,,,,,,
1964-01-01 00:00:00,47.50,32.60,64.00,,,,,,,,,
1965-01-01 00:00:00,46.50,38.00,66.40,,,,,,,,,
1966-01-01 00:00:00,49.00,35.20,58.00,,,,,,,,,
1967-01-01 00:00:00,55.50,37.20,71.00,,,,,,,,,
1968-01-01 00:00:00,53.50,42.20,64.50,,,,,,,,,
1969-01-01 00:00:00,43.00,29.00,64.40,,,,,,,,,
1970-01-01 00:00:00,53.00,41.30,64.70,,,,,,,,,
1971-01-01 00:00:00,52.50,41.30,69.40,,,,,,,,,
1972-01-01 00:00:00,54.50,37.60,61.80,,,,,,,,,
1973-01-01 00:00:00,54.50,42.60,70.70,,,,,,,,,
1974-01-01 00:00:00,52.50,40.60,69.40,,,,,,,,,
1975-01-01 00:00:00,50.50,41.30,66.30,,,,,,,,,
1976-01-01 00:00:00,51.00,32.50,73.40,,,,,,,,,
1977-01-01 00:00:00,52.00,38.30,67.70,,,,,,,,,
1978-01-01 00:00:00,57.00,38.60,71.60,,,,,,,,,
1979-01-01 00:00:00,53.50,41.00,64.00,,,,,,,,,
1980-01-01 00:00:00,58.50,45.60,72.80,,,,,,,,,
1981-01-01 00:00:00,63.50,49.30,79.40,,,,,,,,,
1982-01-01 00:00:00,59.00,44.00,73.70,,,,,,,,,
1983-01-01 00:00:00,49.50,33.90,57.00,,,,,,,,,
1984-01-01 00:00:00,53.00,38.90,77.90,,,,,,,,,
1985-01-01 00:00:00,62.50,39.60,73.40,,,,,,,,,
1986-01-01 00:00:00,57.00,49.30,78.00,,,,,,,,,
1987-01-01 00:00:00,57.50,44.00,72.50,,,,,,,,,
1988-01-01 00:00:00,62.00,46.30,76.80,,,,,,,,,
1989-01-01 00:00:00,68.00,50.60,78.10,,,,,,,,,
1990-01-01 00:00:00,62.50,49.90,73.70,,,,,,,,,
1991-01-01 00:00:00,68.50,43.60,79.70,,,,,,,,,
1992-01-01 00:00:00,51.50,34.60,75.70,,,,,,,,,
1993-01-01 00:00:00,55.50,40.90,75.70,,,,,,,,,
1994-01-01 00:00:00,67.50,51.00,85.00,,,,,,,,,
1995-01-01 00:00:00,64.50,48.60,77.40,,,,,,,,,
