Chart,,,,,,,,,,,,
DateTime,Modeled Historical,Historical Range,,RCP 2.6 Median,RCP 2.6 Range,,RCP 4.5 Median,RCP 4.5 Range,,RCP 8.5 Median,RCP 8.5 Range,
,,low,high,,low,high,,low,high,,low,high
1950-01-01 00:00:00,28.50,20.30,35.70,,,,,,,,,
1951-01-01 00:00:00,25.50,15.00,35.40,,,,,,,,,
1952-01-01 00:00:00,31.50,14.90,45.70,,,,,,,,,
1953-01-01 00:00:00,28.00,12.50,40.80,,,,,,,,,
1954-01-01 00:00:00,24.50,10.90,36.00,,,,,,,,,
1955-01-01 00:00:00,25.50,14.30,38.40,,,,,,,,,
1956-01-01 00:00:00,28.00,15.60,39.10,,,,,,,,,
1957-01-01 00:00:00,24.00,11.30,36.80,,,,,,,,,
1958-01-01 00:00:00,26.00,12.30,39.00,,,,,,,,,
1959-01-01 00:00:00,30.00,18.70,41.40,,,,,,,,,
1960-01-01 00:00:00,24.00,11.20,37.00,,,,,,,,,
1961-01-01 00:00:00,27.50,16.30,37.70,,,,,,,,,
1962-01-01 00:00:00,29.50,21.60,41.10,,,,,,,,,
1963-01-01 00:00:00,28.50,11.30,44.10,,,,,,,,,
1964-01-01 00:00:00,30.00,15.30,48.00,,,,,,,,,
1965-01-01 00:00:00,31.50,18.20,43.40,,,,,,,,,
1966-01-01 00:00:00,26.00,10.80,42.40,,,,,,,,,
1967-01-01 00:00:00,25.50,15.30,36.80,,,,,,,,,
1968-01-01 00:00:00,26.50,18.00,37.40,,,,,,,,,
1969-01-01 00:00:00,28.00,15.60,41.00,,,,,,,,,
1970-01-01 00:00:00,28.50,17.30,42.00,,,,,,,,,
1971-01-01 00:00:00,27.50,13.60,37.70,,,,,,,,,
1972-01-01 00:00:00,25.00,13.30,36.40,,,,,,,,,
1973-01-01 00:00:00,26.50,18.00,35.70,,,,,,,,,
1974-01-01 00:00:00,27.00,18.30,45.10,,,,,,,,,
1975-01-01 00:00:00,29.50,13.00,43.70,,,,,,,,,
1976-01-01 00:00:00,25.00,14.30,42.50,,,,,,,,,
1977-01-01 00:00:00,34.00,17.60,39.00,,,,,,,,,
1978-01-01 00:00:00,24.50,18.00,38.50,,,,,,,,,
1979-01-01 00:00:00,24.00,14.30,35.40,,,,,,,,,
1980-01-01 00:00:00,28.00,17.00,40.10,,,,,,,,,
1981-01-01 00:00:00,26.50,12.10,32.70,,,,,,,,,
1982-01-01 00:00:00,25.50,17.30,37.70,,,,,,,,,
1983-01-01 00:00:00,27.00,17.30,41.10,,,,,,,,,
1984-01-01 00:00:00,30.50,21.30,40.40,,,,,,,,,
