Chart,,,,,,,,,,,,
DateTime,Modeled Historical,Historical Range,,RCP 2.6 Median,RCP 2.6 Range,,RCP 4.5 Median,RCP 4.5 Range,,RCP 8.5 Median,RCP 8.5 Range,
,,low,high,,low,high,,low,high,,low,high
1950-01-01 00:00:00,64.50,47.00,78.10,,,,,,,,,
1951-01-01 00:00:00,59.00,44.00,70.70,,,,,,,,,
1952-01-01 00:00:00,60.00,45.20,77.70,,,,,,,,,
1953-01-01 00:00:00,64.50,48.30,75.50,,,,,,,,,
1954-01-01 00:00:00,56.00,41.00,72.00,,,,,,,,,
1955-01-01 00:00:00,61.50,43.60,73.70,,,,,,,,,
1956-01-01 00:00:00,65.50,51.30,77.10,,,,,,,,,
1957-01-01 00:00:00,57.50,42.30,79.40,,,,,,,,,
1958-01-01 00:00:00,57.00,44.60,81.70,,,,,,,,,
1959-01-01 00:00:00,65.00,51.50,78.00,,,,,,,,,
1960-01-01 00:00:00,54.00,41.30,75.20,,,,,,,,,
1961-01-01 00:00:00,61.00,46.30,79.40,,,,,,,,,
1962-01-01 00:00:00,62.00,46.50,74.80,,,,,,,,,
1963-01-01 00:00:00,61.50,41.10,78.10,,,,,,,,,
1964-01-01 00:00:00,63.50,48.30,84.40,,,,,,,,,
1965-01-01 00:00:00,68.00,46.90,85.80,,,,,,,,,
1966-01-01 00:00:00,60.50,49.00,78.40,,,,,,,,,
1967-01-01 00:00:00,60.00,46.90,71.00,,,,,,,,,
1968-01-01 00:00:00,62.00,45.00,82.70,,,,,,,,,
1969-01-01 00:00:00,63.50,48.60,80.00,,,,,,,,,
1970-01-01 00:00:00,60.00,49.90,77.40,,,,,,,,,
1971-01-01 00:00:00,59.50,50.30,76.20,,,,,,,,,
1972-01-01 00:00:00,57.50,45.80,72.50,,,,,,,,,
1973-01-01 00:00:00,60.50,50.30,69.70,,,,,,,,,
1974-01-01 00:00:00,61.00,48.00,80.00,,,,,,,,,
1975-01-01 00:00:00,61.00,46.00,77.20,,,,,,,,,
1976-01-01 00:00:00,58.50,46.60,83.20,,,,,,,,,
1977-01-01 00:00:00,64.50,47.30,72.00,,,,,,,,,
1978-01-01 00:00:00,59.00,48.00,71.00,,,,,,,,,
1979-01-01 00:00:00,58.50,39.30,73.70,,,,,,,,,
1980-01-01 00:00:00,58.00,48.60,79.90,,,,,,,,,
1981-01-01 00:00:00,57.00,44.30,72.80,,,,,,,,,
1982-01-01 00:00:00,52.00,44.30,72.80,,,,,,,,,
1983-01-01 00:00:00,65.00,46.60,83.50,,,,,,,,,
1984-01-01 00:00:00,63.00,52.30,73.40,,,,,,,,,
1985-01-01 00:00:00,62.50,53.30,73.00,,,,,,,,,
1986-01-01 00:00:00,55.50,38.30,71.00,,,,,,,,,
1987-01-01 00:00:00,55.00,47.30,76.40,,,,,,,,,
1988-01-01 00:00:00,60.50,44.60,79.80,,,,,,,,,
1989-01-01 00:00:00,54.00,38.00,72.40,,,,,,,,,
1990-01-01 00:00:00,60.00,40.20,69.40,,,,,,,,,
1991-01-01 00:00:00,53.50,39.90,72.80,,,,,,,,,
1992-01-01 00:00:00,61.50,48.90,79.70,,,,,,,,,
1993-01-01 00:00:00,60.00,44.60,72.40,,,,,,,,,
1994-01-01 00:00:00,59.50,39.80,72.70,,,,,,,,,
1995-01-01 00:00:00,57.50,38.30,72.10,,,,,,,,,
1996-01-01 00:00:00,57.50,44.90,64.40,,,,,,,,,
1997-01-01 00:00:00,58.00,45.60,74.80,,,,,,,,,
1998-01-01 00:00:00,57.00,44.00,69.00,,,,,,,,,
1999-01-01 00:00:00,53.50,38.30,66.00,,,,,,,,,
2000-01-01 00:00:00,49.50,31.80,65.70,,,,,,,,,
2001-01-01 00:00:00,57.50,43.30,65.70,,,,,,,,,
2002-01-01 00:00:00,48.00,43.00,67.70,,,,,,,,,
2003-01-01 00:00:00,51.50,40.30,67.80,,,,,,,,,
2004-01-01 00:00:00,53.00,40.60,75.00,,,,,,,,,
2005-01-01 00:00:00,57.00,38.00,65.00,57.00,38.00,65.00,57.00,38.00,65.40,57.50,36.60,65.00
2006-01-01 00:00:00,,,,56.50,44.30,76.00,55.00,34.60,70.20,51.00,40.30,68.40
2007-01-01 00:00:00,,,,53.50,42.50,64.10,48.00,38.30,56.80,53.50,39.30,64.40
2008-01-01 00:00:00,,,,55.00,42.60,67.10,56.00,49.60,73.70,49.00,29.60,62.80
2009-01-01 00:00:00,,,,52.00,40.20,60.70,47.00,34.30,64.00,51.50,39.90,63.10
2010-01-01 00:00:00,,,,50.00,43.00,66.40,53.50,37.60,64.60,50.00,40.30,71.40
2011-01-01 00:00:00,,,,50.00,41.30,61.10,48.00,31.60,67.70,50.50,37.00,67.80
2012-01-01 00:00:00,,,,50.00,29.90,63.10,46.00,30.90,71.40,51.50,29.60,59.00
2013-01-01 00:00:00,,,,50.50,37.30,60.10,47.50,35.00,68.10,47.50,32.20,63.90
2014-01-01 00:00:00,,,,51.50,39.00,65.70,47.00,32.90,65.80,46.00,36.00,61.60
2015-01-01 00:00:00,,,,47.00,33.60,70.80,51.00,37.00,61.70,52.50,36.30,67.70
2016-01-01 00:00:00,,,,49.00,39.90,65.70,52.50,30.00,63.10,53.50,38.80,68.10
2017-01-01 00:00:00,,,,45.00,30.80,59.80,48.00,35.30,58.00,45.00,30.30,64.00
2018-01-01 00:00:00,,,,49.00,31.60,66.40,55.50,37.60,65.40,44.00,20.80,65.50
2019-01-01 00:00:00,,,,48.50,25.90,65.40,52.00,37.30,63.70,45.50,34.00,59.10
2020-01-01 00:00:00,,,,51.50,37.00,63.40,47.00,32.20,61.00,47.00,31.30,64.50
2021-01-01 00:00:00,,,,48.00,37.30,66.50,46.50,29.90,67.10,50.00,33.80,70.40
2022-01-01 00:00:00,,,,48.50,32.00,65.10,47.00,32.00,63.80,48.00,31.30,63.00
2023-01-01 00:00:00,,,,42.50,25.30,66.40,45.00,28.60,62.70,51.00,30.50,67.40
2024-01-01 00:00:00,,,,45.00,37.00,63.40,46.00,21.60,58.70,48.50,26.00,59.10
2025-01-01 00:00:00,,,,50.50,26.60,71.00,42.00,29.30,60.10,43.50,26.00,64.20
2026-01-01 00:00:00,,,,53.50,34.00,67.00,42.50,27.70,59.70,47.50,35.20,61.10
2027-01-01 00:00:00,,,,47.50,35.60,62.10,46.00,33.10,61.10,46.50,27.00,67.80
2028-01-01 00:00:00,,,,45.50,31.20,65.00,44.50,34.00,55.70,45.00,33.30,62.40
2029-01-01 00:00:00,,,,47.00,37.60,56.00,58.50,27.30,68.70,45.50,31.30,62.70
2030-01-01 00:00:00,,,,48.50,31.30,66.80,44.50,27.40,62.40,44.00,32.00,56.10
2031-01-01 00:00:00,,,,47.00,29.30,66.30,47.00,32.00,55.70,46.50,30.80,53.70
2032-01-01 00:00:00,,,,50.00,34.90,59.70,45.00,23.60,65.00,43.00,31.60,58.20
2033-01-01 00:00:00,,,,46.50,30.60,63.10,47.00,31.00,56.70,46.00,32.30,60.70
2034-01-01 00:00:00,,,,47.00,33.80,61.70,41.00,33.30,52.10,48.00,28.20,61.10
2035-01-01 00:00:00,,,,44.00,32.60,62.40,43.00,23.90,56.80,44.50,23.60,59.20
2036-01-01 00:00:00,,,,43.50,25.60,56.00,43.00,24.90,57.80,41.50,26.90,51.80
2037-01-01 00:00:00,,,,42.00,24.60,59.10,39.50,25.20,57.90,42.50,22.00,55.80
2038-01-01 00:00:00,,,,47.00,21.50,66.40,41.50,22.50,62.00,41.00,22.60,55.50
2039-01-01 00:00:00,,,,45.00,20.70,57.90,44.00,22.80,54.00,41.50,19.00,54.10
2040-01-01 00:00:00,,,,41.50,30.50,65.90,45.50,29.90,59.10,40.50,30.90,56.10
2041-01-01 00:00:00,,,,39.50,28.30,58.10,42.00,25.30,55.00,36.00,24.40,49.00
2042-01-01 00:00:00,,,,46.00,29.30,57.00,42.00,26.40,54.70,42.50,23.30,52.10
2043-01-01 00:00:00,,,,39.00,24.90,56.70,40.00,24.30,55.70,36.50,18.60,57.20
2044-01-01 00:00:00,,,,46.50,33.30,58.00,38.50,26.10,55.00,38.00,18.60,56.70
2045-01-01 00:00:00,,,,45.00,23.30,61.40,37.50,25.50,58.50,37.00,28.20,58.00
2046-01-01 00:00:00,,,,45.50,24.30,53.70,38.00,24.30,47.70,43.00,28.00,57.00
2047-01-01 00:00:00,,,,44.00,22.00,52.40,41.00,28.00,55.00,39.00,25.20,52.00
2048-01-01 00:00:00,,,,39.50,27.00,57.70,44.50,27.60,55.00,38.50,18.90,50.40
2049-01-01 00:00:00,,,,42.00,29.20,63.40,41.50,29.30,60.10,37.50,24.60,47.00
2050-01-01 00:00:00,,,,49.00,32.20,62.70,44.50,23.60,58.50,31.50,21.60,47.00
2051-01-01 00:00:00,,,,42.00,26.30,62.10,38.00,25.10,65.30,38.50,18.30,50.70
2052-01-01 00:00:00,,,,42.50,25.60,58.40,37.00,26.90,56.70,32.50,21.20,58.50
2053-01-01 00:00:00,,,,42.00,25.20,61.40,39.00,23.40,48.70,37.50,14.00,45.70
2054-01-01 00:00:00,,,,39.50,22.90,62.40,34.50,22.90,47.70,31.00,19.30,47.80
2055-01-01 00:00:00,,,,42.00,27.30,58.00,35.50,24.20,50.10,33.50,14.50,50.40
2056-01-01 00:00:00,,,,43.50,27.00,61.60,36.50,20.90,50.90,35.50,21.00,46.70
2057-01-01 00:00:00,,,,41.50,28.90,57.40,32.00,18.30,58.10,34.50,21.30,49.40
2058-01-01 00:00:00,,,,44.50,27.30,55.80,39.50,23.20,53.70,30.00,16.30,41.40
2059-01-01 00:00:00,,,,45.00,31.60,57.40,39.50,26.30,60.20,32.50,14.90,42.10
2060-01-01 00:00:00,,,,42.50,25.60,64.40,38.50,25.90,62.50,27.50,13.90,46.00
2061-01-01 00:00:00,,,,42.50,30.30,59.80,32.50,18.60,53.10,31.00,15.20,43.70
2062-01-01 00:00:00,,,,45.00,32.60,57.70,34.00,19.30,47.70,30.50,23.30,48.50
2063-01-01 00:00:00,,,,40.50,28.50,53.70,37.50,19.60,51.20,26.00,8.20,45.40
2064-01-01 00:00:00,,,,42.00,27.20,62.70,33.50,26.00,48.90,26.00,15.30,37.70
2065-01-01 00:00:00,,,,41.00,24.60,64.50,34.50,17.00,49.00,25.50,12.90,46.90
2066-01-01 00:00:00,,,,41.50,21.30,57.50,33.00,20.60,49.00,25.50,13.80,43.10
2067-01-01 00:00:00,,,,41.50,27.30,62.40,33.00,16.30,51.50,30.50,15.60,47.10
2068-01-01 00:00:00,,,,37.00,30.00,52.40,37.50,14.60,54.50,22.00,11.60,40.80
2069-01-01 00:00:00,,,,43.50,28.00,62.20,35.50,10.10,47.40,28.00,11.30,43.50
2070-01-01 00:00:00,,,,40.00,27.30,61.90,39.00,24.40,53.80,25.00,6.30,40.00
2071-01-01 00:00:00,,,,47.00,32.00,58.10,32.00,12.90,49.70,30.50,13.30,41.70
2072-01-01 00:00:00,,,,40.00,19.30,52.70,39.50,24.00,58.00,28.50,15.30,38.70
2073-01-01 00:00:00,,,,45.00,24.60,60.30,32.50,18.20,51.40,25.50,8.30,39.10
2074-01-01 00:00:00,,,,44.00,31.00,70.20,40.00,24.90,60.00,21.50,11.00,46.20
2075-01-01 00:00:00,,,,47.00,21.50,55.40,31.00,18.20,50.80,23.00,12.00,40.40
2076-01-01 00:00:00,,,,43.50,30.10,54.40,39.00,19.90,55.80,25.00,13.00,40.70
2077-01-01 00:00:00,,,,39.00,21.30,54.50,31.50,14.50,47.10,27.50,10.60,39.50
2078-01-01 00:00:00,,,,38.00,26.20,60.90,34.00,15.20,43.70,26.00,9.30,40.70
2079-01-01 00:00:00,,,,38.00,26.30,60.70,39.00,19.90,51.70,18.00,5.90,33.80
2080-01-01 00:00:00,,,,41.00,23.30,59.50,35.00,22.00,55.40,22.00,8.30,33.70
2081-01-01 00:00:00,,,,41.00,27.10,65.70,35.00,20.90,50.00,21.00,10.00,40.80
2082-01-01 00:00:00,,,,41.50,22.90,60.10,29.00,17.60,45.10,18.00,6.90,35.70
2083-01-01 00:00:00,,,,42.50,27.20,58.70,35.50,16.70,52.90,21.00,9.60,32.70
2084-01-01 00:00:00,,,,43.00,28.30,60.50,32.00,15.90,56.00,27.00,3.30,36.40
2085-01-01 00:00:00,,,,48.00,29.30,60.00,36.00,16.30,48.40,19.00,7.00,38.80
2086-01-01 00:00:00,,,,42.00,19.10,52.70,41.00,21.50,48.50,21.50,10.90,41.70
2087-01-01 00:00:00,,,,40.00,24.50,56.40,35.00,20.50,47.10,21.50,7.30,35.70
2088-01-01 00:00:00,,,,40.00,26.20,52.50,31.00,13.60,53.50,18.50,7.00,37.80
2089-01-01 00:00:00,,,,42.50,27.60,54.00,31.00,17.90,53.40,14.50,4.60,35.70
2090-01-01 00:00:00,,,,45.50,32.30,66.70,33.00,17.00,53.50,17.00,8.00,31.10
2091-01-01 00:00:00,,,,40.00,21.00,56.10,36.00,20.00,56.80,18.50,5.30,26.70
2092-01-01 00:00:00,,,,45.50,32.30,55.40,33.00,14.00,49.00,12.50,2.90,35.10
2093-01-01 00:00:00,,,,50.50,34.00,65.40,33.50,16.00,47.70,17.00,6.30,34.80
2094-01-01 00:00:00,,,,39.50,31.30,57.10,37.00,13.40,49.40,13.00,5.30,33.40
2095-01-01 00:00:00,,,,45.00,27.30,56.50,35.00,13.30,55.10,15.50,3.30,34.60
2096-01-01 00:00:00,,,,45.00,25.10,57.40,32.00,15.60,47.20,15.00,7.00,26.70
2097-01-01 00:00:00,,,,43.50,23.00,61.70,34.00,14.30,47.10,14.50,5.30,26.70
2098-01-01 00:00:00,,,,45.50,28.60,54.00,37.50,26.00,51.70,17.50,4.60,36.00
2099-01-01 00:00:00,,,,43.00,30.50,58.00,32.50,13.30,44.00,11.50,3.30,22.10
2100-01-01 00:00:00,,,,40.00,27.90,55.80,35.00,23.20,57.60,16.50,6.00,31.80
