Chart,,,,,,,,,,,,
DateTime,Modeled Historical,Historical Range,,RCP 2.6 Median,RCP 2.6 Range,,RCP 4.5 Median,RCP 4.5 Range,,RCP 8.5 Median,RCP 8.5 Range,
,,low,high,,low,high,,low,high,,low,high
1950-01-01 00:00:00,6.96,6.18,7.95,,,,,,,,,
1951-01-01 00:00:00,7.29,6.53,8.14,,,,,,,,,
1952-01-01 00:00:00,6.96,6.22,7.98,,,,,,,,,
1953-01-01 00:00:00,6.86,6.23,8.10,,,,,,,,,
1954-01-01 00:00:00,6.89,6.41,8.34,,,,,,,,,
1955-01-01 00:00:00,6.92,6.27,7.96,,,,,,,,,
1956-01-01 00:00:00,7.14,6.36,8.09,,,,,,,,,
1957-01-01 00:00:00,7.26,5.83,8.01,,,,,,,,,
1958-01-01 00:00:00,7.01,5.74,7.90,,,,,,,,,
1959-01-01 00:00:00,6.83,5.85,7.72,,,,,,,,,
1960-01-01 00:00:00,7.41,6.23,8.34,,,,,,,,,
1961-01-01 00:00:00,6.92,6.38,7.93,,,,,,,,,
1962-01-01 00:00:00,6.90,6.29,7.74,,,,,,,,,
1963-01-01 00:00:00,7.04,5.77,7.85,,,,,,,,,
1964-01-01 00:00:00,6.55,5.79,7.59,,,,,,,,,
1965-01-01 00:00:00,6.53,5.61,7.44,,,,,,,,,
1966-01-01 00:00:00,6.83,5.78,7.73,,,,,,,,,
1967-01-01 00:00:00,6.88,6.53,8.11,,,,,,,,,
1968-01-01 00:00:00,6.97,6.13,7.59,,,,,,,,,
1969-01-01 00:00:00,6.56,5.61,7.71,,,,,,,,,
1970-01-01 00:00:00,6.90,6.17,7.77,,,,,,,,,
1971-01-01 00:00:00,6.80,5.94,7.99,,,,,,,,,
1972-01-01 00:00:00,7.10,6.43,7.95,,,,,,,,,
1973-01-01 00:00:00,7.10,6.68,7.60,,,,,,,,,
1974-01-01 00:00:00,6.92,5.83,7.83,,,,,,,,,
1975-01-01 00:00:00,7.00,5.83,7.88,,,,,,,,,
1976-01-01 00:00:00,6.93,5.70,8.23,,,,,,,,,
1977-01-01 00:00:00,6.91,6.04,7.68,,,,,,,,,
1978-01-01 00:00:00,7.20,6.43,7.76,,,,,,,,,
1979-01-01 00:00:00,7.42,6.43,8.18,,,,,,,,,
1980-01-01 00:00:00,7.07,6.24,8.31,,,,,,,,,
1981-01-01 00:00:00,7.70,6.43,8.40,,,,,,,,,
1982-01-01 00:00:00,7.39,6.59,8.48,,,,,,,,,
1983-01-01 00:00:00,6.78,5.94,7.73,,,,,,,,,
1984-01-01 00:00:00,7.02,6.31,7.79,,,,,,,,,
1985-01-01 00:00:00,7.23,6.55,7.82,,,,,,,,,
1986-01-01 00:00:00,7.33,6.31,8.45,,,,,,,,,
1987-01-01 00:00:00,7.47,6.58,8.27,,,,,,,,,
1988-01-01 00:00:00,7.44,6.03,8.17,,,,,,,,,
1989-01-01 00:00:00,7.65,6.96,8.42,,,,,,,,,
1990-01-01 00:00:00,7.48,6.77,8.42,,,,,,,,,
1991-01-01 00:00:00,7.90,6.85,8.41,,,,,,,,,
1992-01-01 00:00:00,6.90,5.86,7.99,,,,,,,,,
1993-01-01 00:00:00,7.32,6.66,8.18,,,,,,,,,
1994-01-01 00:00:00,7.73,6.68,8.80,,,,,,,,,
1995-01-01 00:00:00,7.45,6.90,8.60,,,,,,,,,
1996-01-01 00:00:00,7.70,7.09,8.42,,,,,,,,,
1997-01-01 00:00:00,7.72,6.91,8.77,,,,,,,,,
1998-01-01 00:00:00,7.81,6.84,8.45,,,,,,,,,
1999-01-01 00:00:00,8.04,7.28,8.67,,,,,,,,,
2000-01-01 00:00:00,8.04,7.41,8.87,,,,,,,,,
2001-01-01 00:00:00,7.96,7.09,8.34,,,,,,,,,
2002-01-01 00:00:00,8.24,7.65,8.75,,,,,,,,,
2003-01-01 00:00:00,8.03,7.26,8.75,,,,,,,,,
2004-01-01 00:00:00,8.04,7.01,9.09,,,,,,,,,
2005-01-01 00:00:00,7.78,7.18,8.98,7.78,7.18,8.98,7.79,7.19,9.00,7.78,7.17,9.01
2006-01-01 00:00:00,,,,8.08,6.97,8.83,8.03,7.31,9.24,8.28,7.43,8.60
2007-01-01 00:00:00,,,,7.88,7.32,8.44,8.60,7.77,9.22,8.25,7.29,9.01
2008-01-01 00:00:00,,,,8.00,7.41,9.11,8.08,7.16,8.62,8.28,7.36,9.83
