"","Year","Days Tmin < -15 degrees Celsius"
"1","1968","8.50"
"2","1969","11.50"
"3","1970","12.50"
"4","1971","10.00"
"5","1972","9.50"
"6","1973","9.00"
"7","1974","9.00"
"8","1975","12.50"
"9","1976","10.00"
"10","1977","13.00"
"11","1978","8.50"
"12","1979","8.50"
"13","1980","11.00"
"14","1981","7.00"
"15","1982","11.00"
"16","1983","11.00"
"17","1984","13.00"
"18","1985","9.50"
"19","1986","6.50"
"20","1987","7.50"
"21","1988","9.00"
"22","1989","6.00"
"23","1990","9.00"
"24","1991","6.50"
"25","1992","9.00"
"26","1993","10.00"
"27","1994","7.50"
"28","1995","7.00"
"29","1996","9.00"
"30","1997","8.50"
"31","1998","7.50"
"32","1999","5.00"
"33","2000","4.00"
"34","2001","7.00"
"35","2002","5.00"
"36","2003","7.50"
"37","2004","6.50"
