"","Year","Mean Temperature"
"1","1968","8.13"
"2","1969","8.08"
"3","1970","8.11"
"4","1971","8.27"
"5","1972","8.29"
"6","1973","8.45"
"7","1974","8.32"
"8","1975","8.27"
"9","1976","8.28"
"10","1977","8.37"
"11","1978","8.52"
"12","1979","8.78"
"13","1980","8.41"
"14","1981","9.04"
"15","1982","8.62"
"16","1983","7.93"
"17","1984","8.26"
"18","1985","8.53"
"19","1986","8.57"
"20","1987","8.81"
"21","1988","8.75"
"22","1989","9.18"
"23","1990","8.86"
"24","1991","9.29"
"25","1992","8.30"
"26","1993","8.64"
"27","1994","9.01"
"28","1995","8.93"
"29","1996","9.06"
"30","1997","8.99"
"31","1998","8.92"
"32","1999","9.32"
"33","2000","9.28"
"34","2001","9.31"
"35","2002","9.48"
"36","2003","9.23"
"37","2004","9.29"
