"","Year","Days Tmax > 25 degrees Celsius"
"1","1968","53.50"
"2","1969","43.00"
"3","1970","53.00"
"4","1971","52.50"
"5","1972","54.50"
"6","1973","54.50"
"7","1974","52.50"
"8","1975","50.50"
"9","1976","51.00"
"10","1977","52.00"
"11","1978","57.00"
"12","1979","53.50"
"13","1980","58.50"
"14","1981","63.50"
"15","1982","59.00"
"16","1983","49.50"
"17","1984","53.00"
"18","1985","62.50"
"19","1986","57.00"
"20","1987","57.50"
"21","1988","62.00"
"22","1989","68.00"
"23","1990","62.50"
"24","1991","68.50"
"25","1992","51.50"
"26","1993","55.50"
"27","1994","67.50"
"28","1995","64.50"
"29","1996","69.50"
"30","1997","67.00"
"31","1998","66.00"
"32","1999","67.00"
"33","2000","68.50"
"34","2001","62.50"
"35","2002","72.50"
"36","2003","71.50"
"37","2004","69.50"
