"","Year","Species","Location","Count"
"1",1968,"American Black Duck","Western Lake Ontario - Lake Erie",112751
"2",1969,"American Black Duck","Western Lake Ontario - Lake Erie",8514
"3",1970,"American Black Duck","Western Lake Ontario - Lake Erie",16316
"4",1971,"American Black Duck","Western Lake Ontario - Lake Erie",56570
"5",1972,"American Black Duck","Western Lake Ontario - Lake Erie",14587
"6",1974,"American Black Duck","Western Lake Ontario - Lake Erie",25686
"7",1975,"American Black Duck","Western Lake Ontario - Lake Erie",38197
"8",1976,"American Black Duck","Western Lake Ontario - Lake Erie",48785
"9",1977,"American Black Duck","Western Lake Ontario - Lake Erie",7206
"10",1978,"American Black Duck","Western Lake Ontario - Lake Erie",42502
"11",1979,"American Black Duck","Western Lake Ontario - Lake Erie",46621
"12",1980,"American Black Duck","Western Lake Ontario - Lake Erie",9159
"13",1981,"American Black Duck","Western Lake Ontario - Lake Erie",3290
"14",1982,"American Black Duck","Western Lake Ontario - Lake Erie",68170
"15",1984,"American Black Duck","Western Lake Ontario - Lake Erie",12931
"16",1985,"American Black Duck","Western Lake Ontario - Lake Erie",358
"17",1986,"American Black Duck","Western Lake Ontario - Lake Erie",6076
"18",1987,"American Black Duck","Western Lake Ontario - Lake Erie",15636
"19",1988,"American Black Duck","Western Lake Ontario - Lake Erie",4090
"20",1989,"American Black Duck","Western Lake Ontario - Lake Erie",1582
"21",1990,"American Black Duck","Western Lake Ontario - Lake Erie",18907
"22",1991,"American Black Duck","Western Lake Ontario - Lake Erie",18511
"23",1992,"American Black Duck","Western Lake Ontario - Lake Erie",14931
"24",1993,"American Black Duck","Western Lake Ontario - Lake Erie",24646
"25",1994,"American Black Duck","Western Lake Ontario - Lake Erie",14087
"26",1995,"American Black Duck","Western Lake Ontario - Lake Erie",22129
"27",1996,"American Black Duck","Western Lake Ontario - Lake Erie",16986
"28",1997,"American Black Duck","Western Lake Ontario - Lake Erie",161
"29",1998,"American Black Duck","Western Lake Ontario - Lake Erie",81256
"30",1999,"American Black Duck","Western Lake Ontario - Lake Erie",29575
"31",2000,"American Black Duck","Western Lake Ontario - Lake Erie",26258
"32",2001,"American Black Duck","Western Lake Ontario - Lake Erie",46533
"33",2002,"American Black Duck","Western Lake Ontario - Lake Erie",86614
"34",2003,"American Black Duck","Western Lake Ontario - Lake Erie",47901
"35",2004,"American Black Duck","Western Lake Ontario - Lake Erie",11708
"36",1968,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",10
"37",1969,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",251
"38",1970,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",6897
"39",1971,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",9342
"40",1972,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",1779
"41",1975,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",2
