"","Month","Year","Species","Count"
"1",8,1968,"American Black Duck",1450
"2",9,1968,"American Black Duck",10619
"3",10,1968,"American Black Duck",37686
"4",11,1968,"American Black Duck",46979
"5",12,1968,"American Black Duck",16017
"6",3,1969,"American Black Duck",6125
"7",4,1969,"American Black Duck",2329
"8",5,1969,"American Black Duck",20
"9",6,1969,"American Black Duck",37
"10",7,1969,"American Black Duck",3
"11",8,1970,"American Black Duck",484
"12",9,1970,"American Black Duck",8050
"13",10,1970,"American Black Duck",7220
"14",11,1970,"American Black Duck",3720
"15",12,1970,"American Black Duck",1284
"16",2,1971,"American Black Duck",628
"17",3,1971,"American Black Duck",3519
"18",9,1971,"American Black Duck",7829
"19",10,1971,"American Black Duck",14146
"20",11,1971,"American Black Duck",22198
"21",12,1971,"American Black Duck",11597
"22",1,1972,"American Black Duck",4696
"23",2,1972,"American Black Duck",2153
"24",3,1972,"American Black Duck",6168
"25",4,1972,"American Black Duck",2043
"26",6,1972,"American Black Duck",75
"27",7,1972,"American Black Duck",3
"28",8,1973,"American Black Duck",25
"29",9,1973,"American Black Duck",6
"30",10,1973,"American Black Duck",7
"31",11,1973,"American Black Duck",79
"32",3,1974,"American Black Duck",40
"33",4,1974,"American Black Duck",529
"34",8,1974,"American Black Duck",88
"35",9,1974,"American Black Duck",1542
"36",10,1974,"American Black Duck",12239
"37",11,1974,"American Black Duck",7949
"38",12,1974,"American Black Duck",3868
"39",1,1975,"American Black Duck",1150
"40",2,1975,"American Black Duck",495
"41",3,1975,"American Black Duck",6884
"42",4,1975,"American Black Duck",4362
"43",5,1975,"American Black Duck",32
"44",8,1975,"American Black Duck",190
"45",9,1975,"American Black Duck",1429
"46",10,1975,"American Black Duck",12417
"47",11,1975,"American Black Duck",8135
"48",12,1975,"American Black Duck",3103
"49",3,1976,"American Black Duck",546
"50",4,1976,"American Black Duck",253
"51",5,1976,"American Black Duck",38
"52",9,1976,"American Black Duck",850
"53",10,1976,"American Black Duck",12933
"54",11,1976,"American Black Duck",33299
"55",12,1976,"American Black Duck",3185
"56",1,1977,"American Black Duck",8
"57",3,1977,"American Black Duck",6236
"58",4,1977,"American Black Duck",1379
"59",6,1977,"American Black Duck",46
"60",8,1977,"American Black Duck",34
"61",9,1977,"American Black Duck",483
"62",10,1977,"American Black Duck",1758
"63",11,1977,"American Black Duck",1771
"64",12,1977,"American Black Duck",562
"65",1,1978,"American Black Duck",18
"66",2,1978,"American Black Duck",41
"67",3,1978,"American Black Duck",76
"68",4,1978,"American Black Duck",97
"69",5,1978,"American Black Duck",3
"70",9,1978,"American Black Duck",3385
"71",10,1978,"American Black Duck",23817
"72",11,1978,"American Black Duck",10451
"73",12,1978,"American Black Duck",5458
