"","Month","Year","Species","Count"
"1",10,1968,"Long-Tailed Duck",2
"2",11,1968,"Long-Tailed Duck",2
"3",12,1968,"Long-Tailed Duck",6
"4",3,1969,"Long-Tailed Duck",200
"5",4,1969,"Long-Tailed Duck",51
"6",10,1970,"Long-Tailed Duck",366
"7",11,1970,"Long-Tailed Duck",12278
"8",12,1970,"Long-Tailed Duck",1124
"9",9,1971,"Long-Tailed Duck",1
"10",10,1971,"Long-Tailed Duck",2921
"11",11,1971,"Long-Tailed Duck",7662
"12",12,1971,"Long-Tailed Duck",3573
"13",1,1972,"Long-Tailed Duck",40
"14",2,1972,"Long-Tailed Duck",857
"15",3,1972,"Long-Tailed Duck",1049
"16",4,1972,"Long-Tailed Duck",379
"17",6,1972,"Long-Tailed Duck",1
"18",5,1975,"Long-Tailed Duck",2
"19",3,1976,"Long-Tailed Duck",398
"20",4,1976,"Long-Tailed Duck",2902
"21",5,1976,"Long-Tailed Duck",107
"22",11,1976,"Long-Tailed Duck",55
"23",12,1976,"Long-Tailed Duck",1063
"24",1,1977,"Long-Tailed Duck",865
"25",3,1977,"Long-Tailed Duck",4951
"26",4,1977,"Long-Tailed Duck",607
"27",6,1977,"Long-Tailed Duck",2
"28",10,1977,"Long-Tailed Duck",107
"29",11,1977,"Long-Tailed Duck",1326
"30",12,1977,"Long-Tailed Duck",1057
"31",1,1978,"Long-Tailed Duck",3
"32",4,1978,"Long-Tailed Duck",99
"33",5,1978,"Long-Tailed Duck",3
"34",10,1978,"Long-Tailed Duck",206
"35",12,1978,"Long-Tailed Duck",53
"36",3,1979,"Long-Tailed Duck",2
"37",4,1979,"Long-Tailed Duck",3
"38",10,1979,"Long-Tailed Duck",208
"39",11,1979,"Long-Tailed Duck",32
"40",12,1979,"Long-Tailed Duck",53
"41",10,1980,"Long-Tailed Duck",567
"42",11,1980,"Long-Tailed Duck",3745
"43",12,1980,"Long-Tailed Duck",2425
"44",3,1981,"Long-Tailed Duck",3022
"45",4,1981,"Long-Tailed Duck",462
"46",11,1981,"Long-Tailed Duck",350
"47",11,1982,"Long-Tailed Duck",7
"48",3,1984,"Long-Tailed Duck",1
"49",5,1984,"Long-Tailed Duck",2
"50",9,1984,"Long-Tailed Duck",2
"51",10,1984,"Long-Tailed Duck",1
"52",12,1984,"Long-Tailed Duck",80
"53",3,1985,"Long-Tailed Duck",425
"54",4,1985,"Long-Tailed Duck",205
"55",11,1985,"Long-Tailed Duck",105
"56",12,1985,"Long-Tailed Duck",53
"57",1,1986,"Long-Tailed Duck",1050
"58",3,1986,"Long-Tailed Duck",11001
"59",4,1986,"Long-Tailed Duck",3665
"60",5,1986,"Long-Tailed Duck",326
"61",8,1986,"Long-Tailed Duck",6
