CODE	Species.Name
AMAV	American Avocet
AMGP	American Golden-Plover
BASA	Baird's Sandpiper
BBPL	Black-bellied Plover
BBSA	Buff-breasted Sandpiper
BLOY	Black Oystercatcher
BLTU	Black Turnstone
DUNL	Dunlin
GRYE	Greater Yellowlegs
KILL	Killdeer
LBCU	Long-billed Curlew
LBDO	Long-billed Dowitcher
LESA	Least Sandpiper
LEYE	Lesser Yellowlegs
MAGO	Marbled Godwit
PAGP	Pacific Golden-Plover
PEEPS	Unidentified Small Sandpiper
PESA	Pectoral Sandpiper
REKN	Red Knot
RNPH	Red-necked Phalarope
RUTU	Ruddy Turnstone
SAND	Sanderling
SBDO	Short-billed Dowitcher
SEPL	Semipalmated Plover
SESA	Semipalmated Sandpiper
SPSA	Spotted Sandpiper
STSA	Stilt Sandpiper
SURF	Surfbird
UNDO	Unidentified Dowitcher
WATA	Wandering Tattler
WESA	Western Sandpiper
WHIM	Whimbrel
WISN	Wilson's Snipe
YELLOW	Unidentified Yellowlegs
