"","Year","Species","Count"
"1",1968,"Ruddy Duck",26496
"2",1969,"Ruddy Duck",786
"3",1970,"Ruddy Duck",6
"4",1971,"Ruddy Duck",7
"5",1972,"Ruddy Duck",25
"6",1974,"Ruddy Duck",1894
"7",1975,"Ruddy Duck",1956
"8",1976,"Ruddy Duck",716
"9",1977,"Ruddy Duck",198
"10",1978,"Ruddy Duck",2425
"11",1979,"Ruddy Duck",2592
"12",1980,"Ruddy Duck",9
"13",1982,"Ruddy Duck",4878
"14",1984,"Ruddy Duck",2608
"15",1986,"Ruddy Duck",12904
"16",1987,"Ruddy Duck",8173
"17",1988,"Ruddy Duck",63
"18",1990,"Ruddy Duck",2421
"19",1991,"Ruddy Duck",4172
"20",1992,"Ruddy Duck",4854
"21",1993,"Ruddy Duck",7872
"22",1994,"Ruddy Duck",9573
"23",1995,"Ruddy Duck",5300
"24",1996,"Ruddy Duck",8460
"25",1998,"Ruddy Duck",23502
"26",1999,"Ruddy Duck",9614
"27",2000,"Ruddy Duck",24799
"28",2001,"Ruddy Duck",22015
"29",2002,"Ruddy Duck",22817
"30",2003,"Ruddy Duck",9696
