"","OBJECTID","SiteID","Day","Month","Year","Species","Count"
"1",207,"ELO-STLR_B1",6,11,1986,"LTDU",6
"2",768,"ELO-STLR_B2",6,11,1982,"LTDU",7
"3",769,"ELO-STLR_B2",5,11,1997,"LTDU",4
"4",1898,"ELO-STLR_B4",4,5,1999,"LTDU",6
"5",2588,"ELO-STLR_B5",5,1,2000,"LTDU",2
"6",3123,"ELO-STLR_B6",6,11,1986,"LTDU",2
"7",3774,"ELO-STLR_B7",29,4,1977,"LTDU",5
"8",3775,"ELO-STLR_B7",14,3,1985,"LTDU",20
"9",3776,"ELO-STLR_B7",4,11,1998,"LTDU",10
"10",4703,"ELO-STLR_B9",7,4,1976,"LTDU",20
"11",4704,"ELO-STLR_B9",29,4,1977,"LTDU",10
"12",5257,"ELO-STLR_C1",12,4,1977,"LTDU",4
"13",5258,"ELO-STLR_C1",6,1,2004,"LTDU",10
"14",6059,"ELO-STLR_C10",3,12,1976,"LTDU",48
"15",6060,"ELO-STLR_C10",25,4,1985,"LTDU",7
"16",6061,"ELO-STLR_C10",11,4,1985,"LTDU",97
"17",6062,"ELO-STLR_C10",29,3,1985,"LTDU",48
"18",6063,"ELO-STLR_C10",16,4,1986,"LTDU",16
"19",6064,"ELO-STLR_C10",27,3,1986,"LTDU",1
"20",6065,"ELO-STLR_C10",29,4,1986,"LTDU",27
"21",6066,"ELO-STLR_C10",5,11,1986,"LTDU",10
"22",6067,"ELO-STLR_C10",13,1,1987,"LTDU",10
"23",6068,"ELO-STLR_C10",7,1,1988,"LTDU",22
"24",6069,"ELO-STLR_C10",13,12,1990,"LTDU",4
"25",6070,"ELO-STLR_C10",8,1,1992,"LTDU",8
"26",6071,"ELO-STLR_C10",22,11,1995,"LTDU",2
"27",6072,"ELO-STLR_C10",6,11,2003,"LTDU",50
"28",7135,"ELO-STLR_C11",3,12,1976,"LTDU",81
"29",7136,"ELO-STLR_C11",8,12,1977,"LTDU",34
"30",7137,"ELO-STLR_C11",14,4,1978,"LTDU",50
"31",7138,"ELO-STLR_C11",25,4,1985,"LTDU",11
"32",7139,"ELO-STLR_C11",29,3,1985,"LTDU",197
"33",7140,"ELO-STLR_C11",19,12,1985,"LTDU",8
"34",7141,"ELO-STLR_C11",5,12,1985,"LTDU",44
"35",7142,"ELO-STLR_C11",29,4,1986,"LTDU",75
"36",7143,"ELO-STLR_C11",27,3,1986,"LTDU",20
"37",7144,"ELO-STLR_C11",16,4,1986,"LTDU",176
"38",7145,"ELO-STLR_C11",20,11,1986,"LTDU",6
"39",7146,"ELO-STLR_C11",13,1,1987,"LTDU",23
"40",7147,"ELO-STLR_C11",3,1,1989,"LTDU",8
"41",7148,"ELO-STLR_C11",15,11,1990,"LTDU",14
"42",7149,"ELO-STLR_C11",4,11,1991,"LTDU",2
"43",7150,"ELO-STLR_C11",24,11,1992,"LTDU",42
"44",7151,"ELO-STLR_C11",5,1,2000,"LTDU",3
"45",7152,"ELO-STLR_C11",7,1,2003,"LTDU",25
"46",7949,"ELO-STLR_C2",29,4,1976,"LTDU",32
"47",7950,"ELO-STLR_C2",7,4,1976,"LTDU",5
"48",7951,"ELO-STLR_C2",29,3,1985,"LTDU",7
"49",7952,"ELO-STLR_C2",25,4,1985,"LTDU",9
"50",7953,"ELO-STLR_C2",13,1,1987,"LTDU",10
"51",8436,"ELO-STLR_C3",8,4,1976,"LTDU",7
"52",8437,"ELO-STLR_C3",30,4,1976,"LTDU",4
"53",8438,"ELO-STLR_C3",27,3,1986,"LTDU",1
"54",8439,"ELO-STLR_C3",13,1,1987,"LTDU",1
"55",8440,"ELO-STLR_C3",9,1,1992,"LTDU",12
"56",8441,"ELO-STLR_C3",7,1,1999,"LTDU",6
"57",8442,"ELO-STLR_C3",4,11,1999,"LTDU",1
"58",8907,"ELO-STLR_C4",8,4,1976,"LTDU",12
"59",8908,"ELO-STLR_C4",2,1,1986,"LTDU",68
"60",8909,"ELO-STLR_C4",8,12,1986,"LTDU",24
"61",8910,"ELO-STLR_C4",27,3,1986,"LTDU",122
"62",8911,"ELO-STLR_C4",16,4,1986,"LTDU",158
"63",8912,"ELO-STLR_C4",13,1,1987,"LTDU",39
"64",8913,"ELO-STLR_C4",3,1,1989,"LTDU",50
"65",8914,"ELO-STLR_C4",7,11,1990,"LTDU",3
"66",8915,"ELO-STLR_C4",8,1,1992,"LTDU",150
