"","Year","Species","Location","Count"
"1",1970,"American Black Duck","Eastern Lake Ontario - St Lawrence River",4442
"2",1971,"American Black Duck","Eastern Lake Ontario - St Lawrence River",3347
"3",1972,"American Black Duck","Eastern Lake Ontario - St Lawrence River",551
"4",1976,"American Black Duck","Eastern Lake Ontario - St Lawrence River",2319
"5",1977,"American Black Duck","Eastern Lake Ontario - St Lawrence River",5071
"6",1978,"American Black Duck","Eastern Lake Ontario - St Lawrence River",844
"7",1979,"American Black Duck","Eastern Lake Ontario - St Lawrence River",1235
"8",1981,"American Black Duck","Eastern Lake Ontario - St Lawrence River",342
"9",1982,"American Black Duck","Eastern Lake Ontario - St Lawrence River",224
"10",1984,"American Black Duck","Eastern Lake Ontario - St Lawrence River",3050
"11",1985,"American Black Duck","Eastern Lake Ontario - St Lawrence River",3247
"12",1986,"American Black Duck","Eastern Lake Ontario - St Lawrence River",4668
"13",1987,"American Black Duck","Eastern Lake Ontario - St Lawrence River",495
"14",1988,"American Black Duck","Eastern Lake Ontario - St Lawrence River",1908
"15",1989,"American Black Duck","Eastern Lake Ontario - St Lawrence River",1524
"16",1990,"American Black Duck","Eastern Lake Ontario - St Lawrence River",1127
"17",1991,"American Black Duck","Eastern Lake Ontario - St Lawrence River",1728
"18",1992,"American Black Duck","Eastern Lake Ontario - St Lawrence River",1027
"19",1993,"American Black Duck","Eastern Lake Ontario - St Lawrence River",1887
"20",1994,"American Black Duck","Eastern Lake Ontario - St Lawrence River",1136
"21",1995,"American Black Duck","Eastern Lake Ontario - St Lawrence River",2338
"22",1996,"American Black Duck","Eastern Lake Ontario - St Lawrence River",753
"23",1997,"American Black Duck","Eastern Lake Ontario - St Lawrence River",922
"24",1998,"American Black Duck","Eastern Lake Ontario - St Lawrence River",1795
"25",1999,"American Black Duck","Eastern Lake Ontario - St Lawrence River",10262
"26",2000,"American Black Duck","Eastern Lake Ontario - St Lawrence River",2101
"27",2001,"American Black Duck","Eastern Lake Ontario - St Lawrence River",901
"28",2002,"American Black Duck","Eastern Lake Ontario - St Lawrence River",2784
"29",2003,"American Black Duck","Eastern Lake Ontario - St Lawrence River",3143
"30",2004,"American Black Duck","Eastern Lake Ontario - St Lawrence River",858
"31",1970,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",6871
"32",1971,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",4815
"33",1972,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",547
"34",1976,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",4525
"35",1977,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",8911
"36",1978,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",97
"37",1979,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",32
"38",1980,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",890
"39",1981,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",350
"40",1982,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",7
"41",1985,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",788
"42",1986,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",18695
"43",1987,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",1419
"44",1988,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",2140
"45",1989,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",3925
"46",1990,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",3614
"47",1991,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",2703
"48",1992,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",1633
"49",1993,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",7851
"50",1994,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",3670
"51",1995,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",10864
"52",1996,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",1325
"53",1997,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",6622
"54",1998,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",21318
"55",1999,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",107336
"56",2000,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",38128
"57",2001,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",1025
"58",2002,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",2805
"59",2003,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",2367
"60",2004,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",1243
"61",1970,"Ruddy Duck","Eastern Lake Ontario - St Lawrence River",3
"62",1999,"Ruddy Duck","Eastern Lake Ontario - St Lawrence River",1
