"","Year","Days Tmin < -15 degrees Celsius"
"1","1968","26.50"
"2","1969","28.00"
"3","1970","28.50"
"4","1971","27.50"
"5","1972","25.00"
"6","1973","26.50"
"7","1974","27.00"
"8","1975","29.50"
"9","1976","25.00"
"10","1977","34.00"
"11","1978","24.50"
"12","1979","24.00"
"13","1980","28.00"
"14","1981","26.50"
"15","1982","25.50"
"16","1983","27.00"
"17","1984","30.50"
"18","1985","27.00"
"19","1986","25.50"
"20","1987","23.00"
"21","1988","26.50"
"22","1989","20.00"
"23","1990","26.00"
"24","1991","21.00"
"25","1992","25.00"
"26","1993","25.50"
"27","1994","25.50"
"28","1995","25.50"
"29","1996","25.50"
"30","1997","25.00"
"31","1998","23.00"
"32","1999","20.00"
"33","2000","15.00"
"34","2001","25.00"
"35","2002","20.00"
"36","2003","21.00"
"37","2004","26.00"
