"","Year","Mean Temperature"
"1","1968","6.97"
"2","1969","6.56"
"3","1970","6.90"
"4","1971","6.80"
"5","1972","7.10"
"6","1973","7.10"
"7","1974","6.92"
"8","1975","7.00"
"9","1976","6.93"
"10","1977","6.91"
"11","1978","7.20"
"12","1979","7.42"
"13","1980","7.07"
"14","1981","7.70"
"15","1982","7.39"
"16","1983","6.78"
"17","1984","7.02"
"18","1985","7.23"
"19","1986","7.33"
"20","1987","7.47"
"21","1988","7.44"
"22","1989","7.65"
"23","1990","7.48"
"24","1991","7.90"
"25","1992","6.90"
"26","1993","7.32"
"27","1994","7.73"
"28","1995","7.45"
"29","1996","7.70"
"30","1997","7.72"
"31","1998","7.81"
"32","1999","8.04"
"33","2000","8.04"
"34","2001","7.96"
"35","2002","8.24"
"36","2003","8.03"
"37","2004","8.04"
