"","Year","Days Tmax > 25 degrees Celsius"
"1","1968","42.00"
"2","1969","36.00"
"3","1970","43.00"
"4","1971","42.00"
"5","1972","39.50"
"6","1973","44.00"
"7","1974","42.50"
"8","1975","41.00"
"9","1976","38.50"
"10","1977","43.00"
"11","1978","45.50"
"12","1979","45.50"
"13","1980","49.00"
"14","1981","52.50"
"15","1982","46.00"
"16","1983","38.50"
"17","1984","44.50"
"18","1985","51.00"
"19","1986","47.50"
"20","1987","45.00"
"21","1988","48.50"
"22","1989","54.00"
"23","1990","50.00"
"24","1991","52.00"
"25","1992","42.00"
"26","1993","45.00"
"27","1994","52.50"
"28","1995","48.00"
"29","1996","53.50"
"30","1997","54.00"
"31","1998","54.00"
"32","1999","57.50"
"33","2000","55.00"
"34","2001","51.50"
"35","2002","59.50"
"36","2003","55.00"
"37","2004","53.00"
