"","Year","Species","Count"
"1",1968,"American Black Duck",112751
"2",1969,"American Black Duck",8514
"3",1970,"American Black Duck",20758
"4",1971,"American Black Duck",59917
"5",1972,"American Black Duck",15138
"6",1973,"American Black Duck",117
"7",1974,"American Black Duck",26255
"8",1975,"American Black Duck",38197
"9",1976,"American Black Duck",51104
"10",1977,"American Black Duck",12277
"11",1978,"American Black Duck",43346
"12",1979,"American Black Duck",47856
"13",1980,"American Black Duck",9159
"14",1981,"American Black Duck",3632
"15",1982,"American Black Duck",68394
"16",1984,"American Black Duck",15981
"17",1985,"American Black Duck",3605
"18",1986,"American Black Duck",10744
"19",1987,"American Black Duck",16131
"20",1988,"American Black Duck",5998
"21",1989,"American Black Duck",3106
"22",1990,"American Black Duck",20034
"23",1991,"American Black Duck",20239
"24",1992,"American Black Duck",15958
"25",1993,"American Black Duck",26533
"26",1994,"American Black Duck",15223
"27",1995,"American Black Duck",24467
"28",1996,"American Black Duck",17880
"29",1997,"American Black Duck",1083
"30",1998,"American Black Duck",85138
"31",1999,"American Black Duck",40036
"32",2000,"American Black Duck",28760
"33",2001,"American Black Duck",47434
"34",2002,"American Black Duck",89398
"35",2003,"American Black Duck",51044
"36",2004,"American Black Duck",12566
"37",1968,"Long-Tailed Duck",10
"38",1969,"Long-Tailed Duck",251
"39",1970,"Long-Tailed Duck",13768
"40",1971,"Long-Tailed Duck",14157
"41",1972,"Long-Tailed Duck",2326
"42",1975,"Long-Tailed Duck",2
"43",1976,"Long-Tailed Duck",4525
"44",1977,"Long-Tailed Duck",8915
"45",1978,"Long-Tailed Duck",364
"46",1979,"Long-Tailed Duck",298
"47",1980,"Long-Tailed Duck",6737
"48",1981,"Long-Tailed Duck",3834
"49",1982,"Long-Tailed Duck",7
"50",1984,"Long-Tailed Duck",86
"51",1985,"Long-Tailed Duck",788
"52",1986,"Long-Tailed Duck",18695
"53",1987,"Long-Tailed Duck",1421
"54",1988,"Long-Tailed Duck",2145
"55",1989,"Long-Tailed Duck",3925
"56",1990,"Long-Tailed Duck",3614
"57",1991,"Long-Tailed Duck",2758
"58",1992,"Long-Tailed Duck",1634
"59",1993,"Long-Tailed Duck",8679
"60",1994,"Long-Tailed Duck",3975
"61",1995,"Long-Tailed Duck",10883
"62",1996,"Long-Tailed Duck",1337
"63",1997,"Long-Tailed Duck",6858
"64",1998,"Long-Tailed Duck",21488
"65",1999,"Long-Tailed Duck",107374
"66",2000,"Long-Tailed Duck",120329
"67",2001,"Long-Tailed Duck",24155
"68",2002,"Long-Tailed Duck",2854
"69",2003,"Long-Tailed Duck",2388
"70",2004,"Long-Tailed Duck",1243
"71",1968,"Ruddy Duck",26496
"72",1969,"Ruddy Duck",786
"73",1970,"Ruddy Duck",6
"74",1971,"Ruddy Duck",7
"75",1972,"Ruddy Duck",25
"76",1974,"Ruddy Duck",1894
"77",1975,"Ruddy Duck",1956
"78",1976,"Ruddy Duck",716
"79",1977,"Ruddy Duck",198
"80",1978,"Ruddy Duck",2425
"81",1979,"Ruddy Duck",2592
"82",1980,"Ruddy Duck",9
"83",1982,"Ruddy Duck",4878
"84",1984,"Ruddy Duck",2608
"85",1986,"Ruddy Duck",12904
"86",1987,"Ruddy Duck",8173
"87",1988,"Ruddy Duck",63
"88",1990,"Ruddy Duck",2421
"89",1991,"Ruddy Duck",4172
"90",1992,"Ruddy Duck",4854
"91",1993,"Ruddy Duck",7872
"92",1994,"Ruddy Duck",9573
"93",1995,"Ruddy Duck",5300
"94",1996,"Ruddy Duck",8460
"95",1998,"Ruddy Duck",23502
"96",1999,"Ruddy Duck",9614
"97",2000,"Ruddy Duck",24799
"98",2001,"Ruddy Duck",22015
"99",2002,"Ruddy Duck",22817
"100",2003,"Ruddy Duck",9696
