"","Year","Species","Location","Count"
"1",1970,"American Black Duck","Eastern Lake Ontario - St Lawrence River",4442
"2",1971,"American Black Duck","Eastern Lake Ontario - St Lawrence River",3347
"3",1972,"American Black Duck","Eastern Lake Ontario - St Lawrence River",551
"4",1976,"American Black Duck","Eastern Lake Ontario - St Lawrence River",2319
"5",1977,"American Black Duck","Eastern Lake Ontario - St Lawrence River",5071
"6",1978,"American Black Duck","Eastern Lake Ontario - St Lawrence River",844
"7",1979,"American Black Duck","Eastern Lake Ontario - St Lawrence River",1235
"8",1981,"American Black Duck","Eastern Lake Ontario - St Lawrence River",342
"9",1982,"American Black Duck","Eastern Lake Ontario - St Lawrence River",224
"10",1984,"American Black Duck","Eastern Lake Ontario - St Lawrence River",3050
"11",1985,"American Black Duck","Eastern Lake Ontario - St Lawrence River",3247
"12",1986,"American Black Duck","Eastern Lake Ontario - St Lawrence River",4668
"13",1987,"American Black Duck","Eastern Lake Ontario - St Lawrence River",495
"14",1988,"American Black Duck","Eastern Lake Ontario - St Lawrence River",1908
"15",1989,"American Black Duck","Eastern Lake Ontario - St Lawrence River",1524
"16",1990,"American Black Duck","Eastern Lake Ontario - St Lawrence River",1127
"17",1991,"American Black Duck","Eastern Lake Ontario - St Lawrence River",1728
"18",1992,"American Black Duck","Eastern Lake Ontario - St Lawrence River",1027
"19",1993,"American Black Duck","Eastern Lake Ontario - St Lawrence River",1887
"20",1994,"American Black Duck","Eastern Lake Ontario - St Lawrence River",1136
"21",1995,"American Black Duck","Eastern Lake Ontario - St Lawrence River",2338
"22",1996,"American Black Duck","Eastern Lake Ontario - St Lawrence River",753
"23",1997,"American Black Duck","Eastern Lake Ontario - St Lawrence River",922
"24",1998,"American Black Duck","Eastern Lake Ontario - St Lawrence River",1795
"25",1999,"American Black Duck","Eastern Lake Ontario - St Lawrence River",10262
"26",2000,"American Black Duck","Eastern Lake Ontario - St Lawrence River",2101
"27",2001,"American Black Duck","Eastern Lake Ontario - St Lawrence River",901
"28",2002,"American Black Duck","Eastern Lake Ontario - St Lawrence River",2784
"29",2003,"American Black Duck","Eastern Lake Ontario - St Lawrence River",3143
"30",2004,"American Black Duck","Eastern Lake Ontario - St Lawrence River",858
"31",1970,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",6871
"32",1971,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",4815
"33",1972,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",547
"34",1976,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",4525
"35",1977,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",8911
"36",1978,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",97
"37",1979,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",32
"38",1980,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",890
"39",1981,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",350
"40",1982,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",7
"41",1985,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",788
"42",1986,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",18695
"43",1987,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",1419
"44",1988,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",2140
"45",1989,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",3925
"46",1990,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",3614
"47",1991,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",2703
"48",1992,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",1633
"49",1993,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",7851
"50",1994,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",3670
"51",1995,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",10864
"52",1996,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",1325
"53",1997,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",6622
"54",1998,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",21318
"55",1999,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",107336
"56",2000,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",38128
"57",2001,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",1025
"58",2002,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",2805
"59",2003,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",2367
"60",2004,"Long-Tailed Duck","Eastern Lake Ontario - St Lawrence River",1243
"61",1970,"Ruddy Duck","Eastern Lake Ontario - St Lawrence River",3
"62",1999,"Ruddy Duck","Eastern Lake Ontario - St Lawrence River",1
"63",1973,"American Black Duck","Lake Huron- Georgian Bay",117
"64",1974,"American Black Duck","Lake Huron- Georgian Bay",569
"65",1996,"American Black Duck","Lake Huron- Georgian Bay",141
"66",2000,"American Black Duck","Lake Superior",401
"67",1998,"American Black Duck","Rideau Canal",2087
"68",1999,"American Black Duck","Rideau Canal",199
"69",1968,"American Black Duck","Western Lake Ontario - Lake Erie",112751
"70",1969,"American Black Duck","Western Lake Ontario - Lake Erie",8514
"71",1970,"American Black Duck","Western Lake Ontario - Lake Erie",16316
"72",1971,"American Black Duck","Western Lake Ontario - Lake Erie",56570
"73",1972,"American Black Duck","Western Lake Ontario - Lake Erie",14587
"74",1974,"American Black Duck","Western Lake Ontario - Lake Erie",25686
"75",1975,"American Black Duck","Western Lake Ontario - Lake Erie",38197
"76",1976,"American Black Duck","Western Lake Ontario - Lake Erie",48785
"77",1977,"American Black Duck","Western Lake Ontario - Lake Erie",7206
"78",1978,"American Black Duck","Western Lake Ontario - Lake Erie",42502
"79",1979,"American Black Duck","Western Lake Ontario - Lake Erie",46621
"80",1980,"American Black Duck","Western Lake Ontario - Lake Erie",9159
"81",1981,"American Black Duck","Western Lake Ontario - Lake Erie",3290
"82",1982,"American Black Duck","Western Lake Ontario - Lake Erie",68170
"83",1984,"American Black Duck","Western Lake Ontario - Lake Erie",12931
"84",1985,"American Black Duck","Western Lake Ontario - Lake Erie",358
"85",1986,"American Black Duck","Western Lake Ontario - Lake Erie",6076
"86",1987,"American Black Duck","Western Lake Ontario - Lake Erie",15636
"87",1988,"American Black Duck","Western Lake Ontario - Lake Erie",4090
"88",1989,"American Black Duck","Western Lake Ontario - Lake Erie",1582
"89",1990,"American Black Duck","Western Lake Ontario - Lake Erie",18907
"90",1991,"American Black Duck","Western Lake Ontario - Lake Erie",18511
"91",1992,"American Black Duck","Western Lake Ontario - Lake Erie",14931
"92",1993,"American Black Duck","Western Lake Ontario - Lake Erie",24646
"93",1994,"American Black Duck","Western Lake Ontario - Lake Erie",14087
"94",1995,"American Black Duck","Western Lake Ontario - Lake Erie",22129
"95",1996,"American Black Duck","Western Lake Ontario - Lake Erie",16986
"96",1997,"American Black Duck","Western Lake Ontario - Lake Erie",161
"97",1998,"American Black Duck","Western Lake Ontario - Lake Erie",81256
"98",1999,"American Black Duck","Western Lake Ontario - Lake Erie",29575
"99",2000,"American Black Duck","Western Lake Ontario - Lake Erie",26258
"100",2001,"American Black Duck","Western Lake Ontario - Lake Erie",46533
"101",2002,"American Black Duck","Western Lake Ontario - Lake Erie",86614
"102",2003,"American Black Duck","Western Lake Ontario - Lake Erie",47901
"103",2004,"American Black Duck","Western Lake Ontario - Lake Erie",11708
"104",1968,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",10
"105",1969,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",251
"106",1970,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",6897
"107",1971,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",9342
"108",1972,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",1779
"109",1975,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",2
"110",1977,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",4
"111",1978,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",267
"112",1979,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",266
"113",1980,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",5847
"114",1981,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",3484
"115",1984,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",86
"116",1987,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",2
"117",1988,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",5
"118",1991,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",55
"119",1992,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",1
"120",1993,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",828
"121",1994,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",305
"122",1995,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",19
"123",1996,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",12
"124",1997,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",236
"125",1998,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",170
"126",1999,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",38
"127",2000,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",82201
"128",2001,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",23130
"129",2002,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",49
"130",2003,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",21
"131",1968,"Ruddy Duck","Western Lake Ontario - Lake Erie",26496
"132",1969,"Ruddy Duck","Western Lake Ontario - Lake Erie",786
"133",1970,"Ruddy Duck","Western Lake Ontario - Lake Erie",3
"134",1971,"Ruddy Duck","Western Lake Ontario - Lake Erie",7
"135",1972,"Ruddy Duck","Western Lake Ontario - Lake Erie",25
"136",1974,"Ruddy Duck","Western Lake Ontario - Lake Erie",1894
"137",1975,"Ruddy Duck","Western Lake Ontario - Lake Erie",1956
"138",1976,"Ruddy Duck","Western Lake Ontario - Lake Erie",716
"139",1977,"Ruddy Duck","Western Lake Ontario - Lake Erie",198
"140",1978,"Ruddy Duck","Western Lake Ontario - Lake Erie",2425
"141",1979,"Ruddy Duck","Western Lake Ontario - Lake Erie",2592
"142",1980,"Ruddy Duck","Western Lake Ontario - Lake Erie",9
"143",1982,"Ruddy Duck","Western Lake Ontario - Lake Erie",4878
"144",1984,"Ruddy Duck","Western Lake Ontario - Lake Erie",2608
"145",1986,"Ruddy Duck","Western Lake Ontario - Lake Erie",12904
"146",1987,"Ruddy Duck","Western Lake Ontario - Lake Erie",8173
"147",1988,"Ruddy Duck","Western Lake Ontario - Lake Erie",63
"148",1990,"Ruddy Duck","Western Lake Ontario - Lake Erie",2421
"149",1991,"Ruddy Duck","Western Lake Ontario - Lake Erie",4172
"150",1992,"Ruddy Duck","Western Lake Ontario - Lake Erie",4854
"151",1993,"Ruddy Duck","Western Lake Ontario - Lake Erie",7872
"152",1994,"Ruddy Duck","Western Lake Ontario - Lake Erie",9573
"153",1995,"Ruddy Duck","Western Lake Ontario - Lake Erie",5300
"154",1996,"Ruddy Duck","Western Lake Ontario - Lake Erie",8460
"155",1998,"Ruddy Duck","Western Lake Ontario - Lake Erie",23502
"156",1999,"Ruddy Duck","Western Lake Ontario - Lake Erie",9613
"157",2000,"Ruddy Duck","Western Lake Ontario - Lake Erie",24799
"158",2001,"Ruddy Duck","Western Lake Ontario - Lake Erie",22015
"159",2002,"Ruddy Duck","Western Lake Ontario - Lake Erie",22817
"160",2003,"Ruddy Duck","Western Lake Ontario - Lake Erie",9696
