"","Year","Location","Count"
"1",1970,"Eastern Lake Ontario - St Lawrence River",11316
"2",1971,"Eastern Lake Ontario - St Lawrence River",8162
"3",1972,"Eastern Lake Ontario - St Lawrence River",1098
"4",1976,"Eastern Lake Ontario - St Lawrence River",6844
"5",1977,"Eastern Lake Ontario - St Lawrence River",13982
"6",1978,"Eastern Lake Ontario - St Lawrence River",941
"7",1979,"Eastern Lake Ontario - St Lawrence River",1267
"8",1980,"Eastern Lake Ontario - St Lawrence River",890
"9",1981,"Eastern Lake Ontario - St Lawrence River",692
"10",1982,"Eastern Lake Ontario - St Lawrence River",231
"11",1984,"Eastern Lake Ontario - St Lawrence River",3050
"12",1985,"Eastern Lake Ontario - St Lawrence River",4035
"13",1986,"Eastern Lake Ontario - St Lawrence River",23363
"14",1987,"Eastern Lake Ontario - St Lawrence River",1914
"15",1988,"Eastern Lake Ontario - St Lawrence River",4048
"16",1989,"Eastern Lake Ontario - St Lawrence River",5449
"17",1990,"Eastern Lake Ontario - St Lawrence River",4741
"18",1991,"Eastern Lake Ontario - St Lawrence River",4431
"19",1992,"Eastern Lake Ontario - St Lawrence River",2660
"20",1993,"Eastern Lake Ontario - St Lawrence River",9738
"21",1994,"Eastern Lake Ontario - St Lawrence River",4806
"22",1995,"Eastern Lake Ontario - St Lawrence River",13202
"23",1996,"Eastern Lake Ontario - St Lawrence River",2078
"24",1997,"Eastern Lake Ontario - St Lawrence River",7544
"25",1998,"Eastern Lake Ontario - St Lawrence River",23113
"26",1999,"Eastern Lake Ontario - St Lawrence River",117599
"27",2000,"Eastern Lake Ontario - St Lawrence River",40229
"28",2001,"Eastern Lake Ontario - St Lawrence River",1926
"29",2002,"Eastern Lake Ontario - St Lawrence River",5589
"30",2003,"Eastern Lake Ontario - St Lawrence River",5510
"31",2004,"Eastern Lake Ontario - St Lawrence River",2101
"32",1973,"Lake Huron- Georgian Bay",117
"33",1974,"Lake Huron- Georgian Bay",569
"34",1996,"Lake Huron- Georgian Bay",141
"35",2000,"Lake Superior",401
"36",1998,"Rideau Canal",2087
"37",1999,"Rideau Canal",199
"38",1968,"Western Lake Ontario - Lake Erie",139257
"39",1969,"Western Lake Ontario - Lake Erie",9551
"40",1970,"Western Lake Ontario - Lake Erie",23216
"41",1971,"Western Lake Ontario - Lake Erie",65919
"42",1972,"Western Lake Ontario - Lake Erie",16391
"43",1974,"Western Lake Ontario - Lake Erie",27580
"44",1975,"Western Lake Ontario - Lake Erie",40155
"45",1976,"Western Lake Ontario - Lake Erie",49501
"46",1977,"Western Lake Ontario - Lake Erie",7408
"47",1978,"Western Lake Ontario - Lake Erie",45194
"48",1979,"Western Lake Ontario - Lake Erie",49479
"49",1980,"Western Lake Ontario - Lake Erie",15015
"50",1981,"Western Lake Ontario - Lake Erie",6774
"51",1982,"Western Lake Ontario - Lake Erie",73048
"52",1984,"Western Lake Ontario - Lake Erie",15625
"53",1985,"Western Lake Ontario - Lake Erie",358
"54",1986,"Western Lake Ontario - Lake Erie",18980
"55",1987,"Western Lake Ontario - Lake Erie",23811
"56",1988,"Western Lake Ontario - Lake Erie",4158
"57",1989,"Western Lake Ontario - Lake Erie",1582
"58",1990,"Western Lake Ontario - Lake Erie",21328
"59",1991,"Western Lake Ontario - Lake Erie",22738
"60",1992,"Western Lake Ontario - Lake Erie",19786
"61",1993,"Western Lake Ontario - Lake Erie",33346
"62",1994,"Western Lake Ontario - Lake Erie",23965
"63",1995,"Western Lake Ontario - Lake Erie",27448
"64",1996,"Western Lake Ontario - Lake Erie",25458
"65",1997,"Western Lake Ontario - Lake Erie",397
"66",1998,"Western Lake Ontario - Lake Erie",104928
"67",1999,"Western Lake Ontario - Lake Erie",39226
"68",2000,"Western Lake Ontario - Lake Erie",133258
"69",2001,"Western Lake Ontario - Lake Erie",91678
"70",2002,"Western Lake Ontario - Lake Erie",109480
"71",2003,"Western Lake Ontario - Lake Erie",57618
"72",2004,"Western Lake Ontario - Lake Erie",11708
